"Reference ID","Box Number","Site Name","Street","City","County","Program","Latitude","Longitude","All Programs for Site","Covenant"
"28622","2013BAZ296","AAA PRECISION TOOL & CUTTER GRINDING INC","101 COLLEGE AVE","OROFINO","Clearwater","General Remediation","46.479456","-116.252342","General Remediation",""
"27545","2013BAZ99","AARCO STATION","6878 MAIN ST","BONNERS FERRY","Boundary","General Remediation","48.688456","-116.316525","General Remediation",""
"27395","2013BAZ249","AAVEDAL PROPERTIES","211 CHURCH","SANDPOINT","Bonner","General Remediation","48.27375","-116.54919","Brownfields, General Remediation",""
"27539","2013BAZ105","ACTION AUTO","1524 N 9TH ST","COEUR D ALENE","Kootenai","General Remediation","47.689742","-116.772536","General Remediation",""
"14381","2012BAZ442","ADA CNTY HWY DIST HARRIS RANCH ROW","HARRIS RANCH","BOISE","Ada","General Remediation","43.572","-116.137","General Remediation",""
"14358","2012BAZ421","ADA CNTY HWY DIST LINDER","510 N LINDER","KUNA","Ada","General Remediation","43.493494","-116.413602","General Remediation",""
"7906","2011BAZ128","ADA CNTY LANDFILL","9005 SEAMANS GULCH RD","BOISE","Ada","General Remediation","43.70409","-116.27786","General Remediation, RCRA Hazardous Waste Site, Solid Waste, Underground Storage Tanks",""
"7906","2011BAZ128","ADA CNTY LANDFILL","9005 SEAMANS GULCH RD","BOISE","Ada","General Remediation","43.70409","-116.27786","General Remediation, RCRA Hazardous Waste Site, Solid Waste, Underground Storage Tanks",""
"112790","2015BAZ51","A&D TOWING","525 THAIN RD","LEWISTON","Nez Perce","General Remediation","46.37539","-116.96789","General Remediation",""
"2432","2011BAZ165","ADVANCED INPUT DEVICES AID","250 W AID DR","COEUR D ALENE","Kootenai","General Remediation","47.742649","-116.790419","General Remediation, RCRA Hazardous Waste Site",""
"2433","2011BAZ166","ADVANCED INPUT DEVICES PRIEST RIVER","PRIEST RIVER INDUSTRIAL PARK (1421 Shannon Ln)","PRIEST RIVER","Bonner","General Remediation","48.18835","-116.934249","General Remediation, RCRA Hazardous Waste Site",""
"2431","2011BAZ164","ADVANCED INPUT DEVICES WILBUR","600 W WILBUR AVE","COEUR D ALENE","Kootenai","General Remediation","47.736264","-116.796001","General Remediation, RCRA Hazardous Waste Site",""
"111982","2014BAZ140","ADVANTAGE TRUCKING LLC","I-90 MP 63.8 WB","WALLACE","Shoshone","General Remediation","47.474308","-115.878739","General Remediation",""
"186056","2016BAZ42","AGRITECH EQUIPMENT","609 E 3RD N","SUGAR CITY","Madison","General Remediation","43.87723","-111.73891","General Remediation",""
"27564","2013BAZ80","A G WEST","900 SELTICE","PLUMMER","Benewah","General Remediation","47.334322","-116.881786","General Remediation",""
"14264","2012BAZ336","A & I DISTRIBUTING","2058 S CENTURY WAY","BOISE","Ada","General Remediation","43.584","-116.27","General Remediation",""
"28638","2013BAZ279","ALASKA PACIFIC POWDER","3650 SCARCELLO RD","RATHDRUM","Kootenai","General Remediation","47.868387","-116.839432","General Remediation",""
"14435","2012BAZ65","ALPHA TRANSPORT INC - GASOLINE SPILL","US HWY 26 (SWAN VALLEY HWY) MP 392 and BIG CREEK RD","PALISADES","Bonneville","General Remediation","43.314","-111.147","General Remediation",""
"2633","2011BAZ249","ALPINE LUMBER SUPPLY","1400 N DIVISION","SANDPOINT","BONNER","General Remediation","48.287027","-116.568717","Brownfields, General Remediation, RCRA Hazardous Waste Site, Voluntary Cleanup Program","yes"
"5413","2011BAZ6644","ALSCOTT PROPERTY","NE CORNER 17TH ST & FRONT ST","BOISE","Ada","General Remediation","43.61965","-116.21536","General Remediation",""
"2514","2011BAZ274","AMALGAMATED SUGAR CO LLC NAMPA","138 W KARCHER AVE","NAMPA","Canyon","General Remediation","43.606074","-116.574457","General Remediation, Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"2515","2011BAZ275","AMALGAMATED SUGAR CO LLC TWIN FALLS","2320 ORCHARD DR E (3700 N 3100 E)","TWIN FALLS","Twin Falls","General Remediation","42.533151","-114.432725","General Remediation, Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"2667","2011BAZ308","AMERICAN WEST BANK COMMERCIAL SITE","5TH AVE & FIR ST","SANDPOINT","Bonner","General Remediation","48.278409","-116.554171","General Remediation",""
"28602","2013BAZ316","ANDERSON CORNER AST","28040 HWY 20-26","PARMA","Canyon","General Remediation","43.873365","-116.955473","General Remediation",""
"27546","2013BAZ98","ANDERSON LOGGING CO","HCR 1 BOX 291","NAPLES","Boundary","General Remediation","48.620647","-116.364839","General Remediation",""
"8318","2011BAZ1605","ARCO ELECTRIC","205 N KIMBALL AVE","CALDWELL","Canyon","General Remediation","43.6678","-116.68566","General Remediation",""
"27616","2013BAZ28","ARTHER ESTATE","GYPSY BAY PEND OREILLE RIVER","SAGLE","Bonner","General Remediation","48.250483","-116.67875","General Remediation",""
"111980","2014BAZ139","ARTHUR ST CALDWELL UNREGULATED UST","708 ARTHUR ST","CALDWELL","Canyon","General Remediation","43.66596","-116.68866","General Remediation",""
"2553","2011BAZ403","ASSOCIATED FOOD STORES","4719 MARKET ST","BOISE","Ada","General Remediation","43.55933","-116.18568","General Remediation, Underground Storage Tanks",""
"112856","2015BAZ96","ATKINSON DISTRIBUTING","US HWY 12 MP 62.5","KAMIAH","Lewis","General Remediation","46.26085","-116.0831","General Remediation",""
"186052","2016BAZ38","ATLANTIC AVIATION","2230 AVIATION DR","HAILEY","Blaine","General Remediation","43.4994","-114.29374","General Remediation",""
"28582","2013BAZ336","ATT COMMUNICATIONS J STATION","I-90 EXIT 64","WALLACE","Shoshone","General Remediation","47.474418","-115.86569","General Remediation",""
"27481","2013BAZ164","AVERY LANDING","","AVERY","Shoshone","General Remediation","47.249728","-115.826767","Different, Other, General Remediation",""
"28567","2013BAZ351","AVIS RENT A CAR SYSTEMS","2036 S AIRPORT WAY NO 8","POCATELLO","Bannock","General Remediation","42.90537","-112.58825","General Remediation",""
"27518","2013BAZ126","AVISTA PROPERTY","LANCASTER & GOVT WAY","HAYDEN","Kootenai","General Remediation","47.787261","-116.786153","General Remediation",""
"2741","2011BAZ460","AVISTA SUBSTATION","MAIN ST 1/4 MI S OF TOWN (T53N R1W SEC3 SW/SE 1/4)","LAKEVIEW","Bonner","General Remediation","47.965603","-116.445991","General Remediation",""
"27538","2013BAZ106","AVISTA TRANSFORMER SITE","INDIAN MTN RD","HARRISON","Kootenai","General Remediation","47.391858","-116.719786","General Remediation",""
"13899","2011BAZ496","BAIRD OIL","234 W FRANKLIN RD","MERIDIAN","Ada","General Remediation","43.60489","-116.39704","General Remediation, Underground Storage Tanks",""
"110408","2014BAZ37","BAKER TRUCK SERVICE","HWY 95 MP 198","RIGGINS","Idaho","General Remediation","45.453586","-116.308689","General Remediation",""
"112016","2014BAZ150","BANK OF AMERICA","405 N 2 AVE","SANDPOINT","Bonner","General Remediation","48.27646","-116.54913","General Remediation, Voluntary Cleanup Program",""
"27487","2013BAZ157","BARNYARD PET & FEED","7390 C HWY 95 S","SAGLE","Bonner","General Remediation","48.228597","-116.541947","General Remediation",""
"7997","2011BAZ522","BARRERA NITRATE (aka CHIEF AUTOMOTIVE)","323 E KARCHER RD","NAMPA","CANYON","General Remediation","43.60491","-116.5692","General Remediation, Underground Storage Tanks",""
"28565","2013BAZ353","BEAR LAKE SANDS","","MONTPELIER","Bear Lake","General Remediation","","","General Remediation",""
"27504","2013BAZ140","BEAR RIVER CUSTOM FIREARMS","8633 W DULCIMER ST","BOISE","Ada","General Remediation","43.54761","-116.28982","General Remediation",""
"27619","2013BAZ25","BENTLEY INC","US HWY 20 MP 326","REXBURG","Jefferson","General Remediation","43.731697","-111.868586","General Remediation",""
"107690","2013BAZ377","BERMENSOLO PROPERTY","N 10TH E & E 19TH N","MOUNTAIN HOME","Elmore","General Remediation","43.15295","-115.68973","General Remediation",""
"14325","2012BAZ391","BERRY OIL","1810 S YELLOWSTONE HWY","IDAHO FALLS","Bonneville","General Remediation","43.481","-112.047","General Remediation",""
"27486","2013BAZ159","BIG 5 SPORTING GOODS","615 5TH AVE","SANDPOINT","Bonner","General Remediation","48.278958","-116.553981","General Remediation",""
"2822","2011BAZ622","BIG SKY DEVELOPMENT","212 IRONWOOD STE D NO 232","COEUR D ALENE","Kootenai","General Remediation","47.75948","-116.790452","General Remediation",""
"28645","2013BAZ272","BITCH CREEK RANCH","15007 N 2000 W","TETONIA","Teton","General Remediation","43.946112","-111.134225","General Remediation, RCRA Hazardous Waste Site",""
"2841","2011BAZ681","BLAINE LARSEN PROCESSING INC","1 MI E OF OLD HWY 91; 5 MI S OF DUBOIS; T9N R36E S28 NENE;  BLK 1 WACO SIDING","DUBOIS","Clark","General Remediation","44.084562","-112.219976","General Remediation, RCRA Hazardous Waste Site",""
"5956","2011BAZ690","BLDG MAINTENANCE & SUPPLY/MINE SUPPLY BLDG","722 BANK ST","WALLACE","Shoshone","General Remediation","47.47152","-115.92113","General Remediation, Underground Storage Tanks",""
"8045","2011BAZ691","BLICK TRUCKING","221 E MAIN","CASTLEFORD","Twin Falls","General Remediation","42.520819","-114.868807","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"27536","2013BAZ108","BLUE CREEK SHOP","4862 BLUE CREEK RD","COEUR D ALENE","Kootenai","General Remediation","47.652081","-116.589339","General Remediation",""
"8048","2011BAZ695","BLUE DIAMOND MARINA CORP","230 E SHORE RD","COOLIN","Bonner","General Remediation","48.53126","-116.83475","General Remediation, Underground Storage Tanks",""
"27485","2013BAZ160","BLUE SPRUCE LODGE","","HOPE","Bonner","General Remediation","48.239669","-116.294575","General Remediation",""
"5926","2011BAZ7582","BOBS SAVE SUM","815 HWY 2  W","SANDPOINT","Bonner","General Remediation","48.27179","-116.55815","General Remediation","yes"
"14375","2012BAZ437","BODO PARTNERS","8TH ST","BOISE","Ada","General Remediation","43.613","-116.205","General Remediation",""
"2855","2011BAZ729","BOHRENS MOVING & STORAGE","I-90 MP 16.5 E OF CDA","COEUR D ALENE","Kootenai","General Remediation","47.660763","-116.728977","General Remediation",""
"110422","2014BAZ5","BOISE AIRPORT LEASED PROPERTY","3189 WRIGHT ST","BOISE","Ada","General Remediation","43.571378","-116.221372","General Remediation, Underground Storage Tanks",""
"5972","2011BAZ749","BOISE CASCADE COUNCIL SAWMILL","400 N GALENA","COUNCIL","Adams","General Remediation","44.736","-116.44002","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"14357","2012BAZ420","BOISE INDEPENDENT SD WHITNEY ELEMENTARY SCHOOL","1609 S OWYHEE","BOISE","Ada","General Remediation","43.588","-116.224","General Remediation",""
"2878","2011BAZ781","BOISE PETERBILT","6633 FEDERAL WAY (GOWEN RD & I-84)","BOISE","Ada","General Remediation","43.542733","-116.157571","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"8078","2011BAZ783","BOISE PRODUCT TERMINAL UNITED OIL","70 N PHILLIPPI ST","BOISE","Ada","General Remediation","43.605552","-116.247833","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"14394","2012BAZ454","BOISE RANCH GOLF COURSE","6501 S CLOVERDALE RD","BOISE","Ada","General Remediation","43.543","-116.335","General Remediation",""
"14287","2012BAZ357","BOISE RENTAL EQUIPMENT","8147 W CHINDEN BLVD","GARDEN CITY","Ada","General Remediation","43.650348","-116.283557","General Remediation",""
"2885","2011BAZ805","BOISES BEST AUTO DETAIL","2052 S CENTURY WAY","BOISE","Ada","General Remediation","43.584576","-116.271740","General Remediation",""
"5982","2011BAZ794","BOISE TERMINAL CO INC","1004 ROYAL BLVD","BOISE","Ada","General Remediation","43.60951","-116.21312","General Remediation, Leaking Underground Storage Tanks, Underground Storage Tanks",""
"2884","2011BAZ801","BOISE VINTAGE CYCLE","4735 W CHINDEN BLVD","GARDEN CITY","Ada","General Remediation","43.638084","-116.261627","General Remediation",""
"5922","2011BAZ7578","BONICO","2131 INDUSTRIAL RD","NAMPA","Ada","General Remediation","43.59319","-116.544914","General Remediation","yes"
"2888","2011BAZ815","BONNER CNTY SD NO 82","1700 BALDY RD","SANDPOINT","Bonner","General Remediation","48.28898","-116.57072","General Remediation, Underground Storage Tanks",""
"28580","2013BAZ338","BONNER COUNTY FAIRGROUNDS","10000 N BOYER AVE","SANDPOINT","Bonner","General Remediation","48.310776","-116.557893","General Remediation",""
"2889","2011BAZ816","BONNER GENERAL HOSPITAL","520 N 3RD AVE","SANDPOINT","Bonner","General Remediation","48.277401","-116.550253","General Remediation, Underground Storage Tanks",""
"2898","2011BAZ840","BOUNDARY CNTY ROAD & BRIDGE SHOP","73 SUNRISE RD OFF HWY 95 2.5 MI N OF BONNERS FERRY","BONNERS FERRY","Boundary","General Remediation","48.722856","-116.304393","General Remediation, RCRA Hazardous Waste Site",""
"27556","2013BAZ88","BOYD MARTIN CABIN","ROCKY POINT LOOP ROAD","PLUMMER","Benewah","General Remediation","47.356422","-116.744772","General Remediation",""
"2909","2011BAZ864","BRAND X WATER WELLS RELEASE","HWY I-95 MP 441","CHILCO","Kootenai","General Remediation","47.844429","-116.765528","General Remediation",""
"27426","2013BAZ218","BRIAN KRILL","PRINGLE RD","EAST HOPE","Bonner","General Remediation","48.240383","-116.298458","General Remediation",""
"2919","2011BAZ883","BROADDUS ANDREW -DAVE SMITH MOTORS","4 W CAMERON AVE","KELLOGG","Shoshone","General Remediation","47.538681","-116.119566","General Remediation",""
"14335","2012BAZ400","BROADWAY FORD (NORTHGATE MILE)","1051 NORTHGATE MILE","IDAHO FALLS","Bonneville","General Remediation","43.505","-112.025","General Remediation",""
"2921","2011BAZ890","BROCKWAY","37 EVERGREEN","SAGLE","Bonner","General Remediation","48.212014","-116.697441","General Remediation",""
"2923","2011BAZ904","BRUNDAGE MOUNTAIN SKI RESORT","3890 GOOSE LAKE RD","MCCALL","Ada","General Remediation","45.005548","-116.155155","General Remediation",""
"2932","2011BAZ917","BUCK RESIDENCE","76 BOULDER PL","COCOLALLA","BONNER","General Remediation","48.051787","-116.640955","General Remediation, RCRA Hazardous Waste Site",""
"2939","2011BAZ934","BURCH OIL CO INC","402 N ST CHARLES ST","SALMON","Lemhi","General Remediation","45.180566","-113.892164","General Remediation, RCRA Hazardous Waste Site",""
"112830","2015BAZ84","BURLEY STAKE WELFARE FARM","200 S 350 E","BURLEY","Cassia","General Remediation","42.50397","-113.72452","General Remediation",""
"28587","2013BAZ331","BURLINGTON N RR CHLORIDE RELEASE","1.7 RAIL MILES SE OF KATKA","BONNERS FERRY","Boundary","General Remediation","48.670701","-116.10039","General Remediation",""
"28588","2013BAZ330","BURLINGTON N RR DIESEL RELEASE","HWY 2/95","BONNERS FERRY","Boundary","General Remediation","48.512994","-116.44358","General Remediation",""
"27459","2013BAZ186","BURLINGTON N & SANTA FE RR 2001 HAUSER DERAILMENT","MP 49.6","HAUSER","Kootenai","General Remediation","47.758925","-116.987869","General Remediation",""
"27458","2013BAZ187","BURLINGTON N & SANTA FE RR COEUR D ALENE ABANDONMENT","MP 8.9 TO MP 12.3","COEUR D ALENE","Kootenai","General Remediation","47.686006","-116.796642","General Remediation",""
"27457","2013BAZ188","BURLINGTON N & SANTA FE RR HAUSER YARD","MP 47.5","HAUSER","Kootenai","General Remediation","47.7789","-116.952217","General Remediation",""
"27457","2013BAZ188","BURLINGTON N & SANTA FE RR HAUSER YARD","MP 47.5","HAUSER","Kootenai","General Remediation","47.7789","-116.952217","General Remediation",""
"5927","2011BAZ7514","BURLINGTON N & SANTA FE RR PRIEST RIVER","","PRIEST RIVER","Bonner","General Remediation","48.177972","-116.904028","General Remediation",""
"14316","2012BAZ383","BURLINGTON N & SANTA FE RR REFUELING DEPOT","11787 W BURLINGTON RD","RATHDRUM","Kootenai","General Remediation","47.781383","-116.941411","General Remediation",""
"14316","2012BAZ383","BURLINGTON N & SANTA FE RR REFUELING DEPOT","11787 W BURLINGTON RD","RATHDRUM","Kootenai","General Remediation","47.781383","-116.941411","General Remediation",""
"14316","2012BAZ383","BURLINGTON N & SANTA FE RR REFUELING DEPOT","11787 W BURLINGTON RD","RATHDRUM","Kootenai","General Remediation","47.781383","-116.941411","General Remediation",""
"107645","2013BAZ391","BYRNES OIL","476422 HWY 95","PONDERAY","Bonner","General Remediation","48.299861","-116.547922","General Remediation",""
"2970","2011BAZ1008","CALDWELL POLICE DEPT","110 S 5TH AVE","CALDWELL","Canyon","General Remediation","43.668286","-116.690891","General Remediation","yes"
"6046","2011BAZ1011","CALDWELL TRANSPORTATION CO","3503 S 10TH AVE","CALDWELL","Canyon","General Remediation","43.63894","-116.69244","General Remediation, Underground Storage Tanks",""
"8154","2011BAZ1031","CAMERON CONOCO","3 E CAMERON AVE","KELLOGG","Shoshone","General Remediation","47.53804","-116.11873","General Remediation, Underground Storage Tanks",""
"28563","2013BAZ355","CAR-DERS DOORS & MILLWORK","494 E CENTER ST","SHELLEY","Bingham","General Remediation","43.38123","-112.11384","General Remediation",""
"6070","2011BAZ1076","CARLS CYCLES","5550 W STATE ST","BOISE","Ada","General Remediation","43.65628","-116.25761","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"27436","2013BAZ158","CAROL BENSON","612 S ELLA","SANDPOINT","Bonner","General Remediation","48.264283","-116.562808","General Remediation",""
"112752","2015BAZ29","CARTRIDGE WORLD","1742 E FAIRVIEW AVE","MERIDIAN","Ada","General Remediation","43.371035","-116.222174","General Remediation",""
"3009","2011BAZ1107","CDA GARBAGE","1820 N HWY 41","POST FALLS","Kootenai","General Remediation","47.725332","-116.893531","General Remediation",""
"6081","2011BAZ1110","CDS STONERIDGE ASSOCIATION LAND LC","364 STONERIDGE RD","BLANCHARD","Bonner","General Remediation","48.01024","-116.99669","General Remediation, Underground Storage Tanks",""
"27451","2013BAZ194","CEDA PINES VENEER","100 SAMUELS RD","SANDPOINT","Bonner","General Remediation","48.428875","-116.489797","General Remediation",""
"28656","2013BAZ261","CEDAR PRODUCTS","N LINCOLN ST","POST FALLS","Kootenai","General Remediation","47.709036","-116.939789","General Remediation",""
"27450","2013BAZ195","CEDARS CAFE","219 4TH ST","CLARK FORK","Bonner","General Remediation","48.145747","-116.175528","General Remediation",""
"27449","2013BAZ196","CENEX HARVEST STATES","MP 484 HWY 95","COLBURN","Bonner","General Remediation","48.405619","-116.527594","General Remediation",""
"112651","2015BAZ2","CENTRAL LEASING","US HWY 30 MP 255.5","BURLEY","Cassia","General Remediation","43.532222","-113.833056","General Remediation",""
"6086","2011BAZ1132","CENTURY EQUIPMENT","1855 S COLE RD","BOISE","ADA","General Remediation","43.58725","-116.27541","General Remediation, Leaking Underground Storage Tanks, Underground Storage Tanks",""
"27532","2013BAZ112","CHAMPION CONCRETE PUMPING INC","17155 E HWY 53","POST FALLS","Kootenai","General Remediation","47.751242","-117.005939","General Remediation",""
"27448","2013BAZ197","CHARBANNEAU HOTEL","401 HIGH ST","PRIEST RIVER","Bonner","General Remediation","48.179422","-116.909072","General Remediation",""
"27447","2013BAZ198","CHEM DRY","510 PINE ST","SANDPOINT","Bonner","General Remediation","48.273269","-116.554039","General Remediation",""
"27390","2013BAZ254","CHEVRON NO 9-1971-621","621 SHERMAN AVE","COEUR D ALENE","Kootenai","General Remediation","47.673625","-116.710431","General Remediation",""
"3036","2011BAZ1181","CHEVRON PIPELINE CO FRUITLAND DEL FAC","T8N R5W S22 N1/2 BM","FRUITLAND","Payette","General Remediation","44.024881","-116.917878","General Remediation, RCRA Hazardous Waste Site","yes"
"14334","2012BAZ40","CHEVRON PIPELINE CROWS NEST SPILL SITE","CROWS NEST RD 3 MI W OF HWY 30","HAGERMAN","Twin Falls","General Remediation","42.738486","-114.948313","General Remediation, RCRA Hazardous Waste Site",""
"27446","2013BAZ199","CHEVRON STATION NO 1279","102 S 1ST ST","SANDPOINT","Bonner","General Remediation","48.272956","-116.548122","General Remediation",""
"3054","2011BAZ1204","CHEVRON USA INC SS 206191","3RD ST","BONNERS FERRY","Boundary","General Remediation","48.694438","-116.316633","General Remediation, RCRA Hazardous Waste Site",""
"27551","2013BAZ93","CHEVY DEALERSHIP","305 LINCOLN","ST MARIES","Benewah","General Remediation","47.31245","-116.559292","General Remediation",""
"13914","2011BAZ5308","CHS PRIMELAND GRANGEVILLE","1001 N A ST","GRANGEVILLE","Idaho","General Remediation","45.933653","-116.124787","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"28558","2013BAZ360","CHUBBUCK GROUNDWATER CONTAMINATION SITE","","CHUBBUCK","Bannock","General Remediation","42.9274","-112.4654","General Remediation",""
"28609","2013BAZ309","CINDYS DRIVE INN","215 5TH ST","WALLACE","Shoshone","General Remediation","47.473455","-115.925235","General Remediation",""
"14341","2012BAZ406","CIRCLE A RANCH","HWY 21 7 MILES W OF STANLEY","STANLEY","Custer","General Remediation","","","General Remediation",""
"27531","2013BAZ113","CIRCLE M TRUCKING","I 90 MP 15.5","COEUR D ALENE","Kootenai","General Remediation","47.663492","-116.748072","General Remediation",""
"111493","2014BAZ116","CITY CENTRA PLAZA","850 W FRONT ST","BOISE","Ada","General Remediation","43.614889","-116.204328","General Remediation",""
"3593","2011BAZ2513","CITY OF BOISE GOWEN AREA PCE","3883 S ORCHARD","BOISE","Ada","General Remediation","43.567372","-116.246205","General Remediation, Underground Storage Tanks",""
"7875","2011BAZ1257","CITY OF BONNNERS FERRY","7232 MAIN ST","BONNERS FERRY","Boundary","General Remediation","48.69775","-116.31212","General Remediation, Underground Storage Tanks",""
"28657","2013BAZ260","CITY OF COEUR D ALENE BOAT RAMP","S 3RD ST","COEUR D ALENE","Kootenai","General Remediation","47.671442","-116.782503","General Remediation",""
"27441","2013BAZ204","CITY OF DOVER","4TH AND WASHINGTON","DOVER","Bonner","General Remediation","48.248406","-116.606814","General Remediation",""
"3069","2011BAZ1278","CITY OF NAMPA SHOOTING RANGE & C & D LANDFILL","LAKE LOWELL AVE","NAMPA","Canyon","General Remediation","43.560506","-116.62456","General Remediation, Solid Waste",""
"27445","2013BAZ200","CITY OF SANDPOINT LIBRARY","SW CORNER OF DIVISION AND CEDAR","SANDPOINT","Bonner","General Remediation","48.2758","-116.568347","General Remediation",""
"27425","2013BAZ219","CITY OF SANDPOINT LITEHOUSE BLUE CHEESE FACTORY","125 S 2ND AVE (LAKE ST)","SANDPOINT","Bonner","General Remediation","48.272284","-116.548834","General Remediation",""
"27463","2013BAZ182","CITY OF SMELTERVILLE C ST","MAIN ST & C ST","SMELTERVILLE","Shoshone","General Remediation","47.543265","-116.178554","General Remediation",""
"27464","2013BAZ181","CITY OF SMELTERVILLE MAIN ST","501 MAIN ST","SMELTERVILLE","Shoshone","General Remediation","47.543078","-116.180661","General Remediation",""
"6143","2011BAZ1294","CITY OF WALLACE","703 CEDAR ST","WALLACE","Shoshone","General Remediation","47.47249","-115.9223","General Remediation, Underground Storage Tanks",""
"3073","2011BAZ1304","CITY SERVICE VALCON","109 E HARRISON AVE","COEUR D ALENE","Kootenai","General Remediation","47.686639","-116.785465","General Remediation, RCRA Hazardous Waste Site",""
"3708","2011BAZ2782","CITY SERVICE VALCON HWY 12 MP 132","HWY 12 MP 132","KOOSKIA","IDAHO","General Remediation","46.41083","-115.179575","General Remediation",""
"6155","2011BAZ1323","CLARK FORK BEVERAGE","218 N 4TH ST","CLARK FORK","Bonner","General Remediation","48.14544","-116.17548","General Remediation, Underground Storage Tanks",""
"3094","2011BAZ1360","CLEARWATER VALLEY HOSPITAL","301 CEDAR ST","OROFINO","Clearwater","General Remediation","46.486975","-116.259748","General Remediation",""
"27535","2013BAZ109","COEUR D ALENE CREAMERY","513 N 2ND","COEUR D ALENE","Kootenai","General Remediation","47.677278","-116.784367","General Remediation",""
"28557","2013BAZ361","COEUR D ALENE GROUNDWATER CONTAMINATION SITE","","COEUR D ALENE","Kootenai","General Remediation","47.70349","-116.78659","General Remediation",""
"8266","2011BAZ1404","COEUR D ALENE HONDA","2745 SELTICE WY","COEUR D ALENE","Kootenai","General Remediation","47.70154","-116.82168","General Remediation, Underground Storage Tanks",""
"27530","2013BAZ114","COEUR D ALENE LAKESIDE REVITALIZATION","101 E LAKESIDE","COEUR D ALENE","Kootenai","General Remediation","47.674606","-116.786025","General Remediation",""
"8269","2011BAZ1410","COEUR D ALENE NURSERY","3600 NURSERY RD","COEUR D ALENE","Kootenai","General Remediation","47.71775","-116.8267","General Remediation, Underground Storage Tanks",""
"27534","2013BAZ110","COEUR D ALENE SD DALTON ELEMENTARY","6335 N MT CARROLL","DALTON GARDENS","Kootenai","General Remediation","47.729433","-116.771258","General Remediation",""
"27533","2013BAZ111","COEUR D ALENE SD HAYDEN LAKE ELEMENTARY","9650 N GOVT WAY","HAYDEN","Kootenai","General Remediation","47.759456","-116.785992","General Remediation",""
"6616","2011BAZ3030","COEUR D ALENE SD TRANSPORTATION GARAGE","103 POPLAR AVE","COEUR D ALENE","Kootenai","General Remediation","47.69338","-116.78514","General Remediation, Leaking Underground Storage Tanks, Underground Storage Tanks",""
"27444","2013BAZ201","COLDWATER CREEK","COLDWATER CREEK RD","KOOTENAI","Bonner","General Remediation","48.310358","-116.525556","General Remediation",""
"3152","2011BAZ1481","CONAGRA FOODS TWIN FALLS","856 RUSSET ST","TWIN FALLS","Twin Falls","General Remediation","42.552572","-114.483438","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks",""
"3152","2011BAZ1481","CONAGRA FOODS TWIN FALLS","856 RUSSET ST","TWIN FALLS","Twin Falls","General Remediation","42.552572","-114.483438","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks",""
