"Reference ID","Box Number","Site Name","Street","City","County","Program","Latitude","Longitude","All Programs for Site","Covenant","Underground Storage Tanks"
"7883","2011BAZ31","342 N 4200 E","342 N 4200 E","RIGBY","Jefferson","Underground Storage Tanks","43.67436","-111.86419","Underground Storage Tanks","","Underground Storage Tanks"
"2365","2011BAZ32","3650 RAMSEY RD","3650 RAMSEY RD","COEUR D ALENE","Kootenai","Underground Storage Tanks","47.71095","-116.806643","RCRA Hazardous Waste Site, Solid Waste, Underground Storage Tanks","","Underground Storage Tanks"
"2363","2011BAZ28","3 GS/ ROCKEY RIDGE FARM","745 N 750 W","PAUL","Minidoka","Underground Storage Tanks","42.681198","-113.813685","Underground Storage Tanks","","Underground Storage Tanks"
"7884","2011BAZ34","3RD ST ONE STOP","320 COLLEGE AVE","ST MARIES","Benewah","Underground Storage Tanks","47.31541","-116.56315","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7870","2011BAZ36","415 N 8TH ST","415 N 8TH ST","BOISE","Ada","Underground Storage Tanks","43.6185","-116.20121","General Remediation, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2457","2011BAZ35","41 EXPRESS","2503 N HWY 41","POST FALLS","Kootenai","Underground Storage Tanks","47.73098","-116.89469","Underground Storage Tanks","","Underground Storage Tanks"
"2458","2011BAZ39","44 QUICK STOP","15060 HWY 44","CALDWELL","Canyon","Underground Storage Tanks","43.70636","-116.6953","Underground Storage Tanks","","Underground Storage Tanks"
"112863","2015BAZ103","45 RANCH","OWYHEE CANYONLANDS","MURPHY","Owyhee","Underground Storage Tanks","0","0","Underground Storage Tanks","","Underground Storage Tanks"
"2459","2011BAZ40","4-GS INC","29416 U OF I LN","PARMA","Canyon","Underground Storage Tanks","43.80068","-116.94225","Underground Storage Tanks","","Underground Storage Tanks"
"7885","2011BAZ46","5TH ST AUTOMOTIVE REPAIR","3139 5TH ST","LEWISTON","Nez Perce","Underground Storage Tanks","46.38786","-117.00651","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2461","2011BAZ47","6-12  EZ MART","5182 E OWENS AVE","IONA","Bonneville","Underground Storage Tanks","43.52509","-111.93025","Underground Storage Tanks","","Underground Storage Tanks"
"2463","2011BAZ49","7-ELEVEN NO 12976","2050 STATE ST","BOISE","Ada","Underground Storage Tanks","43.62669","-116.2148","Underground Storage Tanks","","Underground Storage Tanks"
"2464","2011BAZ50","7-ELEVEN NO 12986","111 FILER AVE","TWIN FALLS","Twin Falls","Underground Storage Tanks","42.570804","-114.479623","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7886","2011BAZ51","7-ELEVEN NO 12989","521 N 10TH","CALDWELL","Canyon","Underground Storage Tanks","43.66868","-116.68061","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7887","2011BAZ52","7-ELEVEN NO 17693","760 BLUE LAKES BLVD N","TWIN FALLS","Twin Falls","Underground Storage Tanks","42.57537","-114.46007","Underground Storage Tanks","","Underground Storage Tanks"
"7888","2011BAZ53","7-ELEVEN NO 18225","7676 OVERLAND RD","BOISE","Ada","Underground Storage Tanks","43.59093","-116.27914","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"2465","2011BAZ54","7-ELEVEN NO 20590","2205 OVERLAND RD","BURLEY","Cassia","Underground Storage Tanks","42.52516","-113.79298","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"2462","2011BAZ48","7-ELEVEN NO 22630","9577 N GOVT WAY","HAYDEN","Kootenai","Underground Storage Tanks","47.75863","-116.78687","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2466","2011BAZ55","7-ELEVEN NO 23730","6410 FAIRVIEW AVE","BOISE","Ada","Underground Storage Tanks","43.6195","-116.26192","Underground Storage Tanks","","Underground Storage Tanks"
"7889","2011BAZ56","7-ELEVEN NO 23781","650 N IDAHO ST","POST FALLS","Kootenai","Underground Storage Tanks","47.71412","-116.93669","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7890","2011BAZ57","7-ELEVEN NO 25129","1204 S VISTA AVE","BOISE","Ada","Underground Storage Tanks","43.59327","-116.21336","Underground Storage Tanks","","Underground Storage Tanks"
"7891","2011BAZ58","7-ELEVEN NO 25528","409 E BEST AVE","COEUR D ALENE","Kootenai","Underground Storage Tanks","47.70097","-116.78041","Underground Storage Tanks","","Underground Storage Tanks"
"7893","2011BAZ61","93 MINI MARKET","515 S CHALLIS","SALMON","Lemhi","Underground Storage Tanks","45.16944","-113.8902","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7892","2011BAZ60","9 STAR STOP N GO","3505 E 105 N","UCON","Bonneville","Underground Storage Tanks","43.59046","-111.9635","Underground Storage Tanks","","Underground Storage Tanks"
"2382","2011BAZ86","AAA COLLISION REPAIR","111 W 43RD ST","GARDEN CITY","Ada","Underground Storage Tanks","43.631315","-116.253603","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7899","2011BAZ92","AAMCO TRANSMISSION","415 N 3RD ST","COEUR D ALENE","Kootenai","Underground Storage Tanks","47.67664","-116.78258","Underground Storage Tanks","","Underground Storage Tanks"
"8086","2011BAZ92","AAMCO TRANSMISSION CDA","415 N 3RD ST","COEUR D ALENE","Kootenai","Underground Storage Tanks","47.676523","-116.782928","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"14000","2011BAZ93","AAMCO TRANSMISSIONS","217 S 11TH ST","BOISE","Ada","Underground Storage Tanks","43.616342","-116.208475","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7900","2011BAZ94","AAMCO TRANSMISSIONS","8486 W FAIRVIEW AVE","BOISE","Ada","Underground Storage Tanks","43.61629","-116.20837","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2478","2011BAZ96","ABANDONED GAS STATION","6911 W SELTICE WAY","POST FALLS","Kootenai","Underground Storage Tanks","47.70384","-117.0389","Underground Storage Tanks","","Underground Storage Tanks"
"7902","2011BAZ98","ABBY VANERFORD","414 S VISTA AVE","BOISE","Ada","Underground Storage Tanks","43.59981","-116.21308","Underground Storage Tanks","","Underground Storage Tanks"
"2479","2011BAZ101","ABC LEASING CO","113 W 36TH ST","GARDEN CITY","Ada","Underground Storage Tanks","43.62352","-116.24234","Underground Storage Tanks","","Underground Storage Tanks"
"2396","2011BAZ106","ABERDEEN MUNICIPAL AIRPORT","AIRPORT RD (W 1900 S RD)","ABERDEEN","Bingham","Underground Storage Tanks","42.921691","-112.881122","Underground Storage Tanks","","Underground Storage Tanks"
"2396","2011BAZ106","ABERDEEN MUNICIPAL AIRPORT","AIRPORT RD (W 1900 S RD)","ABERDEEN","Bingham","Underground Storage Tanks","42.921691","-112.881122","Underground Storage Tanks","","Underground Storage Tanks"
"2398","2011BAZ108","ABERDEEN SD NO 58","318 W WASHINGTON AVE","ABERDEEN","Bingham","Underground Storage Tanks","42.943614","-112.844633","Underground Storage Tanks","","Underground Storage Tanks"
"2399","2011BAZ109","ABERDEEN SPRINGFIELD CANAL CO","3 MI S of Aberdeen on HWY 39 (144 S MAIN ST )","ABERDEEN","Bingham","Underground Storage Tanks","42.941900","-112.838738","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7903","2011BAZ111","ABERDEEN STATION","MP 28.2","ABERDEEN","Bingham","Underground Storage Tanks","42.94542","-112.83543","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"13958","2011BAZ64","A & B IRRIGATION DIST","414 11TH ST (11TH & E ST)","RUPERT","Minidoka","Underground Storage Tanks","42.623","-113.673","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2467","2011BAZ65","A & B IRRIGATION DIST","700 N MERIDIAN RD","RUPERT","Minidoka","Underground Storage Tanks","42.6228","-113.67336","Underground Storage Tanks","","Underground Storage Tanks"
"13951","2011BAZ63","A & B IRRIGATION DIST","1100 W & 100 S","PAUL","Minidoka","Underground Storage Tanks","42.606153","-113.885736","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7904","2011BAZ115","ABSOLUTELY FLOWER","285 BLUE LAKES BLVD N","TWIN FALLS","Twin Falls","Underground Storage Tanks","42.5664","-114.46065","Underground Storage Tanks","","Underground Storage Tanks"
"2472","2011BAZ71","A CO INC","4590 ALBION ST","BOISE","Ada","Underground Storage Tanks","43.59928","-116.23847","Underground Storage Tanks","","Underground Storage Tanks"
"2481","2011BAZ126","ADA CNTY 2","3RD & FRONT ST","BOISE","Ada","Underground Storage Tanks","43.61085","-116.19859","Underground Storage Tanks","","Underground Storage Tanks"
"7905","2011BAZ127","ADA CNTY COURT HOUSE","514 W JEFFERSON","BOISE","Ada","Underground Storage Tanks","43.61702","-116.19756","Underground Storage Tanks","","Underground Storage Tanks"
"2482","2011BAZ131","ADA CNTY HWY DIST ADAMS","3700 ADAMS ST","GARDEN CITY","Ada","Underground Storage Tanks","43.62904","-116.23817","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7909","2011BAZ133","ADA CNTY HWY DIST CLOVERDALE","440 N CLOVERDALE","BOISE","Ada","Underground Storage Tanks","43.60917","-116.33364","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7908","2011BAZ130","ADA CNTY HWY DIST FAIRVIEW","10577 W FAIRVIEW AVE","BOISE","Ada","Underground Storage Tanks","43.61924","-116.31379","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"2483","2011BAZ135","ADA CNTY HWY DIST GROVE","1101 GROVE ST","BOISE","Ada","Underground Storage Tanks","43.61659","-116.2083","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7910","2011BAZ141","ADA CNTY HWY DIST S 17TH","828 S 17TH ST","BOISE","Ada","Underground Storage Tanks","43.618429","-116.222924","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7907","2011BAZ129","ADA CNTY HWY DIST WARM SPRINGS","203 WARM SPRINGS AVE","BOISE","Ada","Underground Storage Tanks","43.61089","-116.19252","Underground Storage Tanks","","Underground Storage Tanks"
"7906","2011BAZ128","ADA CNTY LANDFILL","9005 SEAMANS GULCH RD","BOISE","Ada","Underground Storage Tanks","43.70409","-116.27786","General Remediation, RCRA Hazardous Waste Site, Solid Waste, Underground Storage Tanks","","Underground Storage Tanks"
"7911","2011BAZ143","ADA CNTY OPERATIONS","7231 BARRISTER","BOISE","Ada","Underground Storage Tanks","43.6068","-116.27134","Underground Storage Tanks","","Underground Storage Tanks"
"2484","2011BAZ144","ADA CNTY PUBLIC SAFETY BDLG","7200 BARRISTER DR","BOISE","Ada","Underground Storage Tanks","43.60866","-116.26988","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7912","2011BAZ145","ADA CNTY RISK MGMT","914 ROYAL BLVD","BOISE","Ada","Underground Storage Tanks","43.6093","-116.21216","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7913","2011BAZ146","ADA CNTY VEHICLE MAINTENANCE","7250 BARRISTER","BOISE","Ada","Underground Storage Tanks","43.60714","-116.27177","Underground Storage Tanks","","Underground Storage Tanks"
"7914","2011BAZ148","ADA CNTY WEED & PEST CONTROL","517 MERIDIAN ST","MERIDIAN","Ada","Underground Storage Tanks","43.60809","-116.39401","Underground Storage Tanks","","Underground Storage Tanks"
"112872","2015BAZ112","ADA COUNTY HIGHWAY DISTRICT","600 BLOCK MERIDIAN RD","MERIDIAN","Ada","Underground Storage Tanks","0","0","Underground Storage Tanks","","Underground Storage Tanks"
"7915","2011BAZ152","ADAMS CNTY ROAD & BRIDGE","PO BOX 48","NEW MEADOWS","Adams","Underground Storage Tanks","44.55957","-116.43397","Underground Storage Tanks","","Underground Storage Tanks"
"13792","2011BAZ151","ADAMS CNTY ROAD & BRIDGE","PO BOX 48","INDIAN VALLEY","Adams","Underground Storage Tanks","44.56","-116.434","Underground Storage Tanks","","Underground Storage Tanks"
"7918","2011BAZ156","ADAMSONS INC 1","20439 N MAIN ST","CAREY","Blaine","Underground Storage Tanks","43.30411","-113.946","Underground Storage Tanks","","Underground Storage Tanks"
"2485","2011BAZ157","ADAMSONS INC 2","20481 N MAIN ST","CAREY","Blaine","Underground Storage Tanks","43.31","-113.94689","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"7917","2011BAZ154","ADAMS PETROLEUM INC","210 E 27TH ST","BURLEY","Cassia","Underground Storage Tanks","42.51871","-113.79119","Underground Storage Tanks","","Underground Storage Tanks"
"2486","2011BAZ159","ADDISON  66","240 W ADDISON","TWIN FALLS","Twin Falls","Underground Storage Tanks","42.5644","-114.48342","Leaking Underground Storage Tanks, Underground Storage Tanks","","Underground Storage Tanks"
"2470","2011BAZ67","A & D INC","356 E APPLEWAY","COEUR D ALENE","Kootenai","Underground Storage Tanks","47.70022","-116.78143","Underground Storage Tanks","","Underground Storage Tanks"
"2487","2011BAZ168","ADY CONVENIENCE & CAR WASH","1815 E SELTICE WAY","POST FALLS","Kootenai","Underground Storage Tanks","47.71078","-116.91795","Underground Storage Tanks","","Underground Storage Tanks"
"2435","2011BAZ169","AE STALEY MFG","260 ARCHER ST  ","MURTAUGH","Twin Falls","Underground Storage Tanks","42.492758","-114.162696","Underground Storage Tanks","","Underground Storage Tanks"
"7919","2011BAZ171","A-EXPRESS NO 243","220 IRONWOOD DR","COEUR D ALENE","Kootenai","Underground Storage Tanks","47.69477","-116.78799","Underground Storage Tanks","","Underground Storage Tanks"
"2488","2011BAZ178","AGC OPER ENG TRAINING & TRUST","5105 APPLE ST","BOISE","Ada","Underground Storage Tanks","43.55551","-116.17351","Underground Storage Tanks","","Underground Storage Tanks"
"2489","2011BAZ180","AGRICULTURAL MAINTENANCE","W 8TH ST & PARK AVE","BURLEY","Cassia","Underground Storage Tanks","42.54329","-113.80359","Underground Storage Tanks","","Underground Storage Tanks"
"2490","2011BAZ181","AGRICULTURAL SERVICES INC","403 W COLLINS RD","BLACKFOOT","Bingham","Underground Storage Tanks","43.20179","-112.37666","Underground Storage Tanks","","Underground Storage Tanks"
"2444","2011BAZ182","AGRI-LINES IRRIGATION INC","3170 E KIMBERLY RD","TWIN FALLS","Twin Falls","Underground Storage Tanks","42.548261","-114.416436","Underground Storage Tanks","","Underground Storage Tanks"
"2443","2011BAZ179","AGRI SERVICE","3205 KIMBERLY RD E","TWIN FALLS","Twin Falls","Underground Storage Tanks","42.548395","-114.410803","Underground Storage Tanks","","Underground Storage Tanks"
"2473","2011BAZ73","A H SCHADE INC GEM FUEL CO","607 12TH AVE RD","NAMPA","Canyon","Underground Storage Tanks","43.56327","-116.57316","Underground Storage Tanks","","Underground Storage Tanks"
"7895","2011BAZ74","A H SCHADE INC GEM STOP CO 12TH AVE","2221 12TH AVE RD","NAMPA","Canyon","Underground Storage Tanks","43.54762","-116.57315","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7896","2011BAZ75","A H SCHADE INC GEM STOP CO 2ND ST","1602 2ND ST S","NAMPA","Canyon","Underground Storage Tanks","43.57507","-116.55596","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7897","2011BAZ76","A H SCHADE INC GEM STOP CO 323 CB","323 CALDWELL BLVD","NAMPA","Canyon","Underground Storage Tanks","43.59","-116.5811","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2474","2011BAZ77","A H SCHADE INC GEM STOP CO 612 NB","612 NAMPA BLVD","NAMPA","Canyon","Underground Storage Tanks","43.59833","-116.57244","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"8891","2011BAZ3478","A H SCHADE INC GEM STOP CO BROADWAY","1005 BROADWAY AVE","BOISE","Ada","Underground Storage Tanks","43.60067","-116.19415","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2475","2011BAZ78","A H SCHADE INC GEM STOP CO CURTIS","420 N CURTIS RD","BOISE","Ada","Underground Storage Tanks","43.60832","-116.25328","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2476","2011BAZ79","A H SCHADE INC GEM STOP CO GUSS GAS & GRUB","1102 CLEVELAND BLVD","CALDWELL","Canyon","Underground Storage Tanks","43.66184","-116.68673","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2477","2011BAZ80","A H SCHADE INC GEM STOP CO MIDDLETON","802 STAR RD","MIDDLETON","Canyon","Underground Storage Tanks","43.70303","-116.61144","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"2491","2011BAZ185","AIR BASE CHEVRON","1855 AIRBASE RD","MOUNTAIN HOME","Elmore","Underground Storage Tanks","43.12614","-115.71779","Underground Storage Tanks","","Underground Storage Tanks"
"2492","2011BAZ186","AIR VAN NORTH AMERICA","7735 FRIEDLY DR","BOISE","Ada","Underground Storage Tanks","43.57217","-116.19543","Underground Storage Tanks","","Underground Storage Tanks"
"7894","2011BAZ69","A & J FOOD STORE INC/CROSSROADS EXPRESS INC","6300 E HWY 54","ATHOL","Kootenai","Underground Storage Tanks","47.94727","-116.70021","Underground Storage Tanks","","Underground Storage Tanks"
"2494","2011BAZ193","ALBENI FALLS DAM","2376 E HWY 2","OLDTOWN","Bonner","Underground Storage Tanks","48.17899","-116.99225","Underground Storage Tanks","","Underground Storage Tanks"
"7920","2011BAZ194","ALBERT GARDNER (MINI BARN CONVENIENCE STORE)","1495 NW MAIN ST  (NW MAIN & RIDGE)","BLACKFOOT","Bingham","Underground Storage Tanks","43.19962","-112.33306","Underground Storage Tanks","","Underground Storage Tanks"
"2567","2011BAZ195","ALBERT M JOHNSON","12350 N PHILBIN RD","POCATELLO","Bannock","Underground Storage Tanks","42.94","-112.49638","Underground Storage Tanks","","Underground Storage Tanks"
"7922","2011BAZ200","ALBERTSONS EXPRESS NO 102","803 12TH AVE S","NAMPA","Canyon","Underground Storage Tanks","43.57358","-116.5674","Underground Storage Tanks","","Underground Storage Tanks"
"7923","2011BAZ201","ALBERTSONS EXPRESS NO 126","640 HWY 16","EMMETT","Gem","Underground Storage Tanks","43.86159","-116.49252","Underground Storage Tanks","","Underground Storage Tanks"
"7924","2011BAZ202","ALBERTSONS EXPRESS NO 130","1011 MAIN ST N","HAILEY","Blaine","Underground Storage Tanks","43.52802","-114.32268","Underground Storage Tanks","","Underground Storage Tanks"
"2570","2011BAZ204","ALBERTSONS EXPRESS NO 238","1024 21ST ST","LEWISTON","Nez Perce","Underground Storage Tanks","46.41003","-117.00155","Underground Storage Tanks","","Underground Storage Tanks"
"2571","2011BAZ205","ALBERTSONS EXPRESS NO 254","197 W PRAIRIE AVE","HAYDEN","Kootenai","Underground Storage Tanks","47.74483","-116.78715","Underground Storage Tanks","","Underground Storage Tanks"
"7925","2011BAZ206","ALBERTSONS INC","250 PARKCENTER BLVD","BOISE","Ada","Underground Storage Tanks","43.60002","-116.17921","Underground Storage Tanks","","Underground Storage Tanks"
"7927","2011BAZ208","ALBERTSONS NO 160","1500 S FIVE MILE","BOISE","Ada","Underground Storage Tanks","43.59061","-116.31372","Underground Storage Tanks","","Underground Storage Tanks"
"2495","2011BAZ209","ALBERTSONS NO 161","10700 USTICK RD","BOISE","Ada","Underground Storage Tanks","43.63426","-116.31459","Underground Storage Tanks","","Underground Storage Tanks"
"7929","2011BAZ211","ALBERTSONS NO 166","2500 BLAINE ST","CALDWELL","Canyon","Underground Storage Tanks","43.65283","-116.67241","Underground Storage Tanks","","Underground Storage Tanks"
"7930","2011BAZ212","ALBERTSONS NO 176","2316 12TH AVE RD","NAMPA","Canyon","Underground Storage Tanks","43.54674","-116.57138","Underground Storage Tanks","","Underground Storage Tanks"
"2496","2011BAZ213","ALBERTSONS NO 177","4744 N EAGLE RD","BOISE","Ada","Underground Storage Tanks","43.6479","-116.35348","Underground Storage Tanks","","Underground Storage Tanks"
"7926","2011BAZ207","ALBERTSONS NO 182 EAGLE","250 S EAGLE RD","EAGLE","Ada","Underground Storage Tanks","43.69178","-116.35363","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
"7931","2011BAZ214","ALBERTSONS NO 184","6658 S FEDERAL WAY","BOISE","Ada","Underground Storage Tanks","43.5416","-116.15457","Underground Storage Tanks","","Underground Storage Tanks"
"2497","2011BAZ215","ALBERTSONS NO 193","1601 S VISTA AVE","BOISE","Ada","Underground Storage Tanks","43.5897","-116.21427","Underground Storage Tanks","","Underground Storage Tanks"
"2568","2011BAZ199","ALBERTSONS NO 8110","2700 REGAN AVE","BOISE","Ada","Underground Storage Tanks","43.62808","-116.2242","RCRA Hazardous Waste Site, Underground Storage Tanks","","Underground Storage Tanks"
