"Facility","Permit Number","Permit Type","Status","Permittee","Location","City","County","Issuance","Permit Id","Facility Id","Latitude","Longitude","Zip","Application To Nco","Activity","Site Id"
"Meadow Branch Waste Solidification Facility","SWP540001478","PROCESSING","Active","Environmental Trust Company","233 McMinn County Road 166","Athens","McMinn","DEC-09-2013","2841","SWP540001478","35.481944","-84.679167","37303","OCT-28-2013","-","5947"
"Upper Cumberland Tire Shredding","SWP180001490","PROCESSING","Active","Upper Cumberland Tire Shredding","502 Maryetta St.","Crossville","Cumberland","SEP-03-2015","3453","SWP180001490","35.963545","-85.04901","38555","AUG-21-2014","-","101198"
"Bass Waste Removal & Recycling","TRF280001497","TRANSFER","Active","Eddie Bass","119 Maxwell Hill Rd","Pulaski","Giles","MAR-11-2015","3460","TRF280001497","35.22338","-86.997036","-","FEB-02-2015","-","103070"
"Ag-Park Convenience Center","CCC280000569","CONVENIENCE","Active","Giles County Solid Waste","2030 Elkton Pike","Pulaski","Giles","DEC-15-2015","4345","CCC280000569","35.154857","-87.006259","38478","DEC-08-2015","-","107686"
"Peeler Road Convenience Center","CCC430000573","CONVENIENCE","Active","Humphreys County","41 William Peeler Road","McEwen","Humphreys","JUL-13-2016","5116","CCC430000573","36.10368","-87.67028","37101","JUL-06-2016","-","110050"
"Hendersonville Resource Facility","SWP830001509","PROCESSING","Pending","Hendersonville Resource Facility","101 Maple Drive North","Hendersonville","Sumner","-","4187","SWP830001509","36.303765","-86.585537","37075","AUG-31-2015","-","107245"
"Priority Waste Services","SWP330001525","PROCESSING","Active","Priority Waste Services","470 Rock Quarry Road","Soddy Daisy","Hamilton","JUL-18-2016","4803","SWP330001525","35.2455","-85.178","37384","MAY-26-2016","-","58798"
"Claiborne County Sanitation Department Class I Landfill","SNL130000285","CLASS I","Pending","Claiborne County","501 Poore Road","New Tazewell","Claiborne","-","3269","SNL130000285","36.400833","-83.649444","-","NOV-21-2014","-","49002"
"Rockwood Recycling, LLC    ","SWP950001519","PROCESSING","Active","Rockwood Recycling, LLC","524 Hartmann Drive","Lebanon","Wilson","APR-15-2016","4694","SWP950001519","36.238197","-86.320572","37087","MAR-04-2016","-","108297"
"Terra Renewal Services, Inc. Popp Farm","LND020000076","LAND APPLICATION","Active","Terra Renewal Services, Inc.","Simms Road at the bridge crossing the Duck River","Shelbyville","Bedford","JUL-10-2015","3887","LND020000076","35.477222","-86.496111","-","JUN-17-2015","-","104673"
"Tennessee Shingle Recycling Facility","SWP750001480","PROCESSING","Active","Tennessee Shingle Recycling, LLC","10704 Franklin Road","Murfreesboro","Rutherford","MAR-31-2014","2882","SWP750001480","35.851097","-86.572847","37128","MAR-13-2014","Processing and recycking of asphalt shingles.","97989"
"Williams Sausage Company, Inc.","LND660000069","LAND APPLICATION","Active","Williams Sausage Co., Inc.","5132 Old Troy-Hickman Road","Union City","Obion","MAY-06-2014","3008","LND660000069","36.481111","-89.160833","38261","-","Land application of food processing residuals.  This approval is for a one time application at 18,000 gallons/acre.","2008"
"TVA Cumberland Fossil Plant CCR Disposal Facility","IDL810000222","CLASS II","Pending","Tennessee Valley Authority","815 Cumberland City Road","Cumberland City","Stewart","-","4316","IDL810000222","36.391488","-87.65263","37050","DEC-02-2015","-","4986"
"Terra Renewal - O'Brien Farm","LND020000067","LAND APPLICATION","Active","Terra Renewal, LLC","Big Springs Road north of intersection of Anderton Road","Bell Buckle","Bedford","AUG-09-2013","2561","LND020000067","35.62833","-86.445278","-","MAY-23-2013","Land application of food processing wastewater residuals.","91588"
"Belk Convenience Center","CCC210000565","CONVENIENCE","Active","DeKalb","486 Wrights Bend Road","Smithville","DeKalb","FEB-12-2014","2861","CCC210000565","35.843543","-85.693445","37166","DEC-27-2013","Collection of residential solid waste.","94809"
"Southeastern Compost","SWP750001515","PROCESSING","Active","Southeastern Compost, LLC","5590 Hickory Grove Rd.","-","Rutherford","APR-12-2016","4450","SWP750001515","36.004603","-86.445256","-","JAN-11-2016","-","108031"
"76 Quail Hollow Road Convenience Center","CCC630000571","CONVENIENCE","Active","Bi-County Solid Waste Management Systems","77 Quail Hollow Road","Clarksville","Montgomery","FEB-05-2016","4566","CCC630000571","36.500058","-87.232139","-","FEB-01-2016","-","56896"
"Terra Renewal Services, Inc. Simon-Peppers Farm","LND020000077","LAND APPLICATION","Active","Terra Renewal Services, Inc.","Between Union Deason Road and Big Springs Road","Shelbyville","Bedford","JUN-24-2015","3836","LND020000077","35.614167","-86.459167","-","JUN-17-2015","-","104520"
"Bo Peep Lane Convenience Center","CCC630000567","CONVENIENCE","Active","Bi-County Solid Waste Management System","191 Bo Peep Lane","Clarksville","Montgomery","JUL-30-2015","3921","CCC630000567","36.617486","-87.42216","37042","JUL-28-2015","-","104910"
"Dynamic Recycling TN, LLC","SWP190001516","PROCESSING","Pending","Dynamic Recycling TN, LLC","3520 Ambrose Ave.","Nashville","Davidson","-","4509","SWP190001516","-","-","37207","FEB-02-2016","-","91572"
"City of Franklin Compost Facility","SWP940001517","PROCESSING","Pending","City of Franklin","135 Claude Yates Drive","Franklin","Williamson","-","4520","SWP940001517","35.94257","-86.8686","37064","FEB-08-2016","-","5258"
"New Planet Alternative, LLC","SWP600001514","PROCESSING","Active","New Planet Alternative, LLC","2262 Monsanto Road","Columbia","Maury","FEB-29-2016","4589","SWP600001514","35.672393","-87.099245","-","JAN-08-2016","-","62734"
"Pinewood Convenience Center","CCC410000568","CONVENIENCE","Termination","Hickman County Solid Waste","4929 Highway 48 North","Nunnelly","Hickman","OCT-23-2015","4143","CCC410000568","35.912202","-87.476058","37137","SEP-17-2015","-","106934"
"Clearwater Environmental LLC aka Titan Waste Services LLC","SWP190001518","PROCESSING","Active","Clearwater Environmental, LLC","450 Edenwold Road","Madison","Davidson","APR-26-2016","4567","SWP190001518","36.28774","-86.697702","37116","FEB-23-2016","-","98810"
"Landfill Convenience Center","CCC940000572","CONVENIENCE","Active","Williamson County Government","5750 Pinewood Rd.","Franklin","Williamson","MAY-25-2016","4767","CCC940000572","35.885278","-87.085278","37064","MAY-12-2016","-","8730"
"Waste Solutions of TN, LLC","SWP600001520","PROCESSING","Active","Waste Solutions of TN, LLC","1168 Industrial Park Drive","Columbia","Maury","JUN-13-2016","4903","SWP600001520","-","-","38401","MAR-16-2016","-","107587"
"Greeneville Paint Processing Facility","SWP300001500","PROCESSING","Active","Town of Greeneville","1555 Old Stage Road","Greeneville","Greene","JUN-02-2015","3751","SWP300001500","36.197637","-82.75541","37745","-","-","47986"
"Bodenham Convenience Center","CCC280000570","CONVENIENCE","Active","Giles County Solid Waste","21130 Highway 64 West","Pulaski","Giles","DEC-15-2015","4346","CCC280000570","35.223224","-87.137634","38478","DEC-08-2015","-","107687"
"Marshall County-Hawkins Drive Tire Storage Facility","TSF590001476","TIRE STORAGE","Active","Marshall County Government","611 Hawkins Drive","Lewisburg","Marshall","NOV-05-2013","2761","TSF590001476","35.425","-86.765","37091","-","-","4049"
"South Flat Creek Convenience Center","CCC780000564","CONVENIENCE","Active","Sevier County Government","110 South Flat Creek Road","Sevierville","Sevier","OCT-02-2013","2721","CCC780000564","35.897383","-83.429634","-","SEP-23-2013","Collection of residential municipal solid waste.","93624"
"Ground Up, Inc.","SWP710001474","PROCESSING","Active","Ground Up Recycling - Cookeville","3130 Dacco Quarry Road","Cookeville","Putnam","OCT-03-2013","2741","SWP710001474","36.139653","-85.439226","38506","SEP-27-2013","Processing  and recycling waste asphalt shingles.","9336"
"Stericycle, Inc. Transfer Station","TRF900001473","TRANSFER","Active","Stericycle, Inc.","3097 Watauga Road","Johnson City","Washington","JAN-14-2014","2701","TRF900001473","36.366944","-82.308056","37601","-","Storage and transfer of medical waste, non-hazardous pharmaceuticals, and regulated garbage.","53158"
"Ground Up Recycling Facility","SWP190001472","PROCESSING","Active","Ground Up Recycling - Hermitage","3552 Hermitage Industrial Drive","Hermitage","Davidson","OCT-01-2013","2681","SWP190001472","36.18676","-86.621","37076","AUG-12-2013","-","10187"
"Davis Creek Energy - Westbourne Class I Landfill","SNL070000284","CLASS I","Pending","Davis Creek Energy, LLC","Westbourne Lane","Duff","Campbell","-","2581","SNL070000284","36.4952","-84.0325","37729","JUN-24-2013","-","38848"
"SafePoint LLC","TRF750001496","TRANSFER","Termination","SafePoint, LLC","855 West College Street, Suite Y","Murfreesboro","Rutherford","JUN-23-2015","3654","TRF750001496","35.854017","-86.405008","37130","APR-12-2015","-","103871"
"Overton County Transfer Station","TRF670001236","TRANSFER","Active","OVERTON COUNTY GOVERNMENT","245 Industrial Park Drive","Livingston","Overton","JAN-16-1996","1342","TRF670001236","36.351812","-85.328602","-","-","-","47880"
"Perry County  Tennessee","TRF680001276","TRANSFER","Active","PERRY COUNTY GOVERNMENT","Highway 13 North","Linden","Perry","JUL-17-1998","1343","TRF680001276","35.633889","-87.825139","-","-","Transfer station for citizens of Perry County.","48981"
"Putnam County Solid Waste Transfer Station","TRF710001338","TRANSFER","Active","PUTNAM COUNTY GOVERNMENT","1846 South Jefferson Street","Cookeville","Putnam","OCT-17-2001","1344","TRF710001338","36.110615","-85.506061","-","-","-","48982"
"Impact Services, Inc.At Ettp","TRF730001322","TRANSFER","Inactive","IMPACT SERVICES, INC.","EETP Bldg.K-1310 MP
West Perimeter Rd.

off Hwy 58","Oak Ridge","Roane","MAR-26-2001","1345","TRF730001322","-","-","37830","-","FOOD MEDICAL SOIL WOOD COMMERCIAL YARD TRANSFER","48860"
"Duratek Services, Inc.","TRF730001328","TRANSFER","Inactive","DURATEK SERVICES, INC.","1560 Bear Creek Road","Oak Ridge","Roane","JUN-27-2001","1346","TRF730001328","35.913297","-84.38266","37830","-","COMMERCIAL AND GOVERNMENT WASTE","8220"
"City Of Rockwood Transfer Station","TRF730001346","TRANSFER","Inactive","CITY OF ROCKWOOD","900 South Chamberlain Avenue","Rockwood","Roane","MAY-06-2002","1347","TRF730001346","35.87877","-84.674853","-","-","-","48984"
"Impact Services, Inc.","TRF730001386","TRANSFER","Inactive","IMPACT SERVICES, INC. @ ETTP","EETP Bldg.K-1310 MP
West Perimeter Rd.

off Hwy 58","Oak Ridge","Roane","JUN-09-2005","1348","TRF730001386","-","-","37830","-","-","48860"
"Robertson Co Rdf Facility","TRF740000232","TRANSFER","Active","ROBERTSON COUNTY GOVERNMENT","2916 WEST COUNTY FARM RD","SPRINGFIELD","Robertson","JUL-20-1990","1349","TRF740000232","36.456403","-86.903402","37172","-","RECYCLING TIRE STORAGE","47750"
"City Of Gatlinburg Transfer Station","TRF780001167","TRANSFER","Active","CITY OF GATLINBURG","1039 Banner Road","Gatlinburg","Sevier","FEB-17-1994","1350","TRF780001167","35.733877","-83.521688","-","-","WASTE CONSOLIDATION","48985"
"Bellevue Transfer Station","TRF790000099","TRANSFER","Active","CITY OF MEMPHIS","1500 North Bellevue","Memphis","Shelby","JAN-01-1973","1351","TRF790000099","35.179635","-90.01472","-","-","TRANSFER STATION TIRE STORAGE","48986"
"Collierville Transfer Station","TRF790000231","TRANSFER","Active","TOWN OF COLLIERVILLE","450 East South Street","Collierville","Shelby","JUL-12-1990","1352","TRF790000231","35.038889","-89.653204","-","-","-","48987"
"Waste Connections Of Tenn.Inc. Transfer Station","TRF790001022","TRANSFER","Active","WASTE CONNECTIONS OF TENNESSEE, INC.","621 East Brooks Road","Memphis","Shelby","OCT-29-1990","1353","TRF790001022","35.061828","-90.043756","-","-","-","48988"
"Democrat Rd Transfer Station","TRF790001023","TRANSFER","Inactive","TBD","2482 Democrat Road","Memphis","Shelby","OCT-29-1990","1354","TRF790001023","35.069422","-89.982346","-","-","-","53491"
"Scott Street Transfer Station","TRF790001024","TRANSFER","Active","CITY OF MEMPHIS","309 Scott St.","Memphis","Shelby","OCT-29-1990","1355","TRF790001024","35.140872","-89.96827","-","-","-","47590"
"Waste Management Of Tennessee Transfer Station","TRF790001072","TRANSFER","Active","WASTE MANAGEMENT INC. OF TENNESSEE","3750 Hatcher Circle","Memphis","Shelby","JUL-03-1991","1356","TRF790001072","35.039328","-89.937584","38118","-","-","7974"
"Inservco Corporation","TRF790001191","TRANSFER","Inactive","TBD","3097 Fontaine","Memphis","Shelby","MAR-27-1995","1357","TRF790001191","35.063889","-90.009444","-","-","TRANSFER STATION INDUSTRIAL USED OIL","42278"
"Trash Hunters Of Tunica","TRF790001262","TRANSFER","Inactive","TRASH HUNTERS OF TUNICA","500 East Brooks Road","Memphis","Shelby","JAN-16-1997","1358","TRF790001262","35.062971","-90.046923","-","-","TRANSFER STATION COMMERCIAL MUNICIPAL MSW","53496"
"Eaton-Moery Environmental Services, Inc.","TRF790001361","TRANSFER","Inactive","EATON-MOERY ENVIRONMENTAL SERVICES, INC.","511 Pear Street","Memphis","Shelby","JUN-09-2003","1359","TRF790001361","35.18191","-90.03944","38113","-","-","50892"
"Liberty Tire Recycling, LLC","TRF790001397","TRANSFER","Active","Liberty Tire Recycling, LLC","3000 Elvis Presley Blvd","Memphis","Shelby","SEP-26-2006","1360","TRF790001397","35.067144","-90.021427","-","-","Collect and transport waste tires to processing facility in MS.","47907"
"City Of Bartlett Solid Waste Complex","TRF790001400","TRANSFER","Active","CITY OF BARTLETT","5250 Shelter Run Lane","Bartlett","Shelby","AUG-30-2006","1361","TRF790001400","35.269486","-89.851877","-","-","-","47908"
"City Of Memphis Farrisview Transfer Station","TRF790001403","TRANSFER","Active","CITY OF MEMPHIS","3211 Farrisview Blvd.","Memphis","Shelby","NOV-09-2006","1362","TRF790001403","35.07626","-89.958591","-","-","-","47910"
"Houston County Transfer Station","TRF420001079","TRANSFER","Active","HOUSTON COUNTY GOVERNMENT","Fire Tower Road","Erin","Houston","FEB-09-1993","1313","TRF420001079","36.293611","-87.713889","-","-","TRANSFER STATION COMPACTOR AIR CURTAIN DESTRUCTOR","47913"
"Johnson County Transfer Station","TRF460001323","TRANSFER","Active","JOHNSON COUNTY GOVERNMENT","398 Industrial Park Drive","Mountain City","Johnson","MAY-04-2001","1314","TRF460001323","36.446813","-81.8809","-","-","TRANSFER","47680"
"Fay Transfer Station","TRF470001027","TRANSFER","Inactive","TBD","Knoxville","Knoxville","Knox","OCT-29-1990","1315","TRF470001027","36.032279","-83.837849","-","-","-","53493"
"Knoxville Transfer Station","TRF470001050","TRANSFER","Active","WASTE CONNECTIONS OF TENNESSEE, INC.","1300 Processor Rd.","Knoxville","Knox","FEB-25-1991","1316","TRF470001050","36.005556","-83.8875","37914","-","RECYCLING PAPER GLASS ALUMINUM CARDBOARD","8751"
"American Enviro Services-Transfer Station","TRF470001389","TRANSFER","Inactive","AMERICAN ENVIRO SERVICES","625 Barbrow Lane","Knoxville","Knox","MAR-28-2006","1317","TRF470001389","35.913155","-84.146169","-","-","-","53490"
"Lauderdale County Transfer Station","TRF490001406","TRANSFER","Active","LAUDERDALE COUNTY, TENNESSEE","3231 Curve Nankipoo Road","Ripley","Lauderdale","FEB-07-2007","1318","TRF490001406","35.833362","-89.486116","-","-","-","47914"
"Lawrenceburg Transfer Station","TRF500000210","TRANSFER","Inactive","TBD","Glenn Springs Road","Lawrenceburg","Lawrence","JUL-13-1990","1319","TRF500000210","35.325","-87.35","-","-","-","53492"
"Lawrence County Transfer Station","TRF500001329","TRANSFER","Active","LAWRENCE COUNTY GOVERNMENT","2126 BALER DRIVE","LAWRENCEBURG","Lawrence","NOV-07-2001","1320","TRF500001329","35.274417","-87.327333","-","-","TRANSFER STATION FOR MUNICIPAL AND COMMERCIAL SOLID WASTE","42310"
"City Of Lawrenceburg Demolition Landfill Transfer Station","TRF500001392","TRANSFER","Inactive","CITY OF LAWRENCEBURG GOVERNMENT","Glenn Springs Road","Lawrenceburg","Lawrence","DEC-13-2005","1321","TRF500001392","35.325","-87.35","-","-","-","53492"
"Lewis County L-1 Transfer Station","TRF510001321","TRANSFER","Active","LEWIS COUNTY GOVERNMENT","641 Waynesboro Highway","Hohenwald","Lewis","MAR-05-2001","1322","TRF510001321","35.529889","-87.558833","-","-","TRANSFER STATION/RECYCLE CENTER/ CONVENIENCE CENTER","47917"
"Fayetteville Transfer Station","TRF520001198","TRANSFER","Active","Interlocal Solid Waste Authority","37 Burklin Street","Fayetteville","Lincoln","JAN-27-1995","1323","TRF520001198","35.15924","-86.55062","37334","-","-","20081"
"Loudon Co Transfer Sta","TRF530000062","TRANSFER","Inactive","TBD","Altamont","Loudon","Loudon","AUG-15-1972","1324","TRF530000062","35.748582","-84.325312","-","-","-","54219"
"Recycle Tennessee Inc","TRF530001051","TRANSFER","Inactive","TBD","Highway 11","Lenoir City","Loudon","APR-23-1993","1325","TRF530001051","35.862357","-84.236907","-","-","RECYCLING TRANSFER STATION","53761"
"Waste Management Inc","TRF530001083","TRANSFER","Inactive","TBD","Chestnut Ridge","Lenoir City","Loudon","JAN-01-1985","1326","TRF530001083","-","-","-","-","-","54220"
"Tennessee Waste Movers, Inc.","TRF530001337","TRANSFER","Inactive","WASTE CONNECTIONS OF TENNESSEE, INC","6727 Hwy 11 E","Lenoir City","Loudon","SEP-10-2001","1327","TRF530001337","35.821239","-84.254483","-","-","-","47918"
"Mcnairy County Transfer Station","TRF550001256","TRANSFER","Active","MCNAIRY COUNTY GOVERNMENT","4702 Highway 64 East","Selmer","McNairy","DEC-05-1996","1329","TRF550001256","35.195","-88.51","-","-","TRANSFER CLASS 1 CLASS 1","47921"
"Macon County Solid Waste Transfer Station","TRF560001260","TRANSFER","Active","MACON COUNTY GOVERNMENT","1319 Heady Ridge Road","Red Boiling Springs","Macon","NOV-21-1996","1330","TRF560001260","36.544444","-85.870833","-","-","TRANSFER STATION","47922"
"Maury County Sanitary Transfer Station","TRF600001253","TRANSFER","Active","MAURY COUNTY GOVERNMENT","1198 INDUSTRIAL PARK RD","COLUMBIA","Maury","JAN-16-1997","1331","TRF600001253","35.643972","-87.064722","-","-","TRANSFER STATION FOOD COMMERICAL MUNICIPAL","42293"
"City Of Columbia Sanitation Dept. Transfer Facility","TRF600001319","TRANSFER","Inactive","CITY OF COLUMBIA","110 Santa Fe Pike","Columbia","Maury","JAN-18-2001","1332","TRF600001319","35.627851","-87.037964","-","-","-","53495"
"Meigs County Transfer","TRF610000051","TRANSFER","Inactive","MEIGS COUNTY","Highway 30 East, Left On Legg Road","-","Meigs","AUG-15-1972","1334","TRF610000051","35.522","-84.756667","-","-","-","51629"
"Monroe County Transfer","TRF620001211","TRANSFER","Inactive","MONROE COUNTY","570 Little Notchey Creek Rd.","Madisonville","Monroe","MAR-27-1995","1335","TRF620001211","35.491667","-84.283333","37354 ","-","TRANSFER MUNICIPAL SOLID WASTE MSW","52428"
"Monroe County Transfer Station","TRF620001222","TRANSFER","Active","WASTE CONNECTIONS OF TENNESSEE, INC.","145 Tellico Port Road","-","Monroe","NOV-09-1995","1336","TRF620001222","35.604722","-84.224166","37885","-","TRANSFER STATION SPECIAL WASTE","10864"
"Cumberland Waste Disposal 68 Transfer Station","TRF180001409","TRANSFER","Active","CUMBERLAND WASTE DISPOSAL","1555 Highway 68","Crossville","Cumberland","DEC-26-2007","1285","TRF180001409","35.906389","-84.961389","38555","-","-","34097"
"Antioch Pike Transfer Station","TRF190001030","TRANSFER","Active","WASTE MANAGEMENT, INC. OF TENNESSEE","1428 Antioch Pike","Antioch","Davidson","OCT-29-1990","1286","TRF190001030","36.080278","-86.685556","37013","-","-","7973"
"Waste Mgnt Of Tn Nashvill","TRF190001133","TRANSFER","Inactive","WASTE MANAGEMENT OF TN, INC.","540 Merritt Avenue","Nashville","Davidson","MAR-10-1993","1287","TRF190001133","36.13952","-86.767817","-","-","-","53775"
"Bfi Waste Services Llc Freightliner Drive Transfer Station","TRF190001220","TRANSFER","Active","BFI WASTE SERVICES, LLC","201 Omohundro Place","Nashville","Davidson","JUN-27-1995","1288","TRF190001220","36.155556","-86.737778","-","-","TRANSFER TIRES YARD WASTE SPECIAL WASTE","47927"
"Gray'S Disposal Company Transfer Station","TRF190001350","TRANSFER","Inactive","EDWIN GRAY","532 Thompson Lane","Nashville","Davidson","MAR-24-2003","1289","TRF190001350","36.496749","-86.556529","-","-","-","53494"
"Natural Resource Reclamation Project","TRF190001381","TRANSFER","Active","ODELL BINKLEY","3516 Central Pike","Hermitage","Davidson","MAR-21-2005","1290","TRF190001381","36.176389","-86.635833","37076","-","-","9645"
"Waste Management Transfer Station","TRF190001410","TRANSFER","Active","WASTE MANAGEMENT, INC. OF TENNESSEE","3211 Franklin Limestone Rd.","Nashville","Davidson","FEB-14-2008","1291","TRF190001410","36.084861","-86.68225","37211","-","-","39534"
"Fentress County (Woodyard) Transfer Station","TRF250001157","TRANSFER","Active","FENTRESS COUNTY GOVERNMENT","3329 South York Highway","-","Fentress","JAN-11-1994","1292","TRF250001157","36.3625","-84.944722","-","-","-","14738"
"Franklin County Transfer Station","TRF260001115","TRANSFER","Termination","FRANKLIN COUNTY GOVERNMENT","487 JOYCE LANE","Winchester","Franklin","SEP-23-1992","1293","TRF260001115","35.168222","-86.136944","37398","-","TRANSFER TIRE STORAGE","39416"
"Estill Springs Transfer Station","TRF260001199","TRANSFER","Active","Interlocal Solid Waste Authority","9577 Tullahoma Hwy","Estill Springs","Franklin","JAN-27-1995","1294","TRF260001199","35.30366","-86.16008","37730","-","-","20082"
"Pulaski Transfer Station","TRF280001215","TRANSFER","Termination","BFI WASTE SERVICES LLC","264 Maxwell Hill Road","Pulaski","Giles","AUG-08-1995","1295","TRF280001215","35.2251","-87.0043","38478","-","TRANSFER STATION","20491"
"Greeneville/Greene County Transfer Station","TRF300001336","TRANSFER","Active","TOWN OF GREENEVILLE","1555 Old Stage Road","Greeneville","Greene","AUG-13-2001","1296","TRF300001336","36.197637","-82.75541","37745","-","-","47986"
"Grundy Co Transfer Station","TRF310000052","TRANSFER","Inactive","TBD","Altamont","-","Grundy","AUG-15-1972","1297","TRF310000052","-","-","-","-","-","53497"
"Signal Mountain Transfer Station","TRF330000125","TRANSFER","Active","TOWN OF SIGNAL MOUNTAIN","714 Mississippi Avenue","Signal Mountain","Hamilton","JUL-12-1990","1299","TRF330000125","35.121666","-85.349166","37377","-","-","10960"
"Sequoyah Transfer Station","TRF330000147","TRANSFER","Active","HAMILTON COUNTY GOVERNMENT","7625 Standifer Gap Road","Chattanooga","Hamilton","JUL-12-1990","1300","TRF330000147","35.051555","-85.137717","-","-","-","48992"
"12Th St Transfer Station","TRF330000199","TRANSFER","Inactive","TBD","Chattanooga","Chattanooga","Hamilton","JAN-01-1985","1301","TRF330000199","35.037762","-85.296694","-","-","-","53776"
"Airport Transfer Station","TRF330000200","TRANSFER","Inactive","TBD","Chattanooga","Chattanooga","Hamilton","JAN-01-1985","1302","TRF330000200","35.038015","-85.296673","-","-","-","53499"
"Spring Creek Transfer Station","TRF330000201","TRANSFER","Termination","HAMILTON COUNTY GOVERNMENT","1018 Yale Street, East Ridge","East Ridge","Hamilton","JUL-12-1990","1303","TRF330000201","34.99573","-85.22281","37412","-","TRANSFER TIRE STORAGE","2124"
"Collegedale Transfer Facility","TRF330001339","TRANSFER","Active","CITY OF COLLEGEDALE","9743 Sandborn Drive","Collegedale","Hamilton","JUN-30-2008","1304","TRF330001339","35.05422","-85.055228","-","-","-","48993"
"Chattanooga Transfer Station, Llc","TRF330001369","TRANSFER","Active","CHATTANOOGA TRANSFER, LLC","1387 Wisdom Street","Chattanooga","Hamilton","JUL-14-2004","1305","TRF330001369","35.08","-85.256667","37406","-","-","12359"
"Bfi Chattanooga Transfer Station","TRF330001374","TRANSFER","Active","BFI WASTE SERVICES, LLC","1018 East 38th Street","Chattanooga","Hamilton","JUL-19-2004","1306","TRF330001374","35.001404","-85.301086","37407","-","-","8837"
"Homeland Environmental Services","TRF330001395","TRANSFER","Inactive","HOMELAND ENVIRONMENTAL SERVICES","306 Workman Road","Chattanooga","Hamilton","APR-17-2006","1307","TRF330001395","34.997808","-85.311731","37410","-","-","44323"
"Haywood County Transfer Station","TRF380001384","TRANSFER","Active","HAYWOOD COUNTY GOVERNMENT","608 Landfill Road","Brownsville","Haywood","JAN-04-2006","1309","TRF380001384","35.563205","-89.294296","-","-","-","47987"
"Henderson County Transfer Station","TRF390001301","TRANSFER","Active","HENDERSON COUNTY GOVERNMENT","264 Mig Drive","Lexington","Henderson","FEB-01-2000","1310","TRF390001301","35.627397","-88.416815","-","-","HOUSEHOLD COMMERCIAL","48994"
"Freedom Waste Service Transfer Station","TRF400001182","TRANSFER","Active","FREEDOM WASTE SERVICE, LLC","1140 Jones Bend Road","Paris","Henry","NOV-17-1994","1311","TRF400001182","36.318715","-88.356479","38242","-","-","8834"
"Hickman County Transfer Station","TRF410001228","TRANSFER","Active","HICKMAN COUNTY GOVERNMENT","2220 Skyview Drive","Centerville","Hickman","MAR-25-1996","1312","TRF410001228","35.83075","-87.452611","-","-","RECYCLING CONVENIENCE TRANSFER STATION","47990"
"Rasco Compost Facility","SWP830001070","PROCESSING","Inactive","RESOURCE AUTHORITY IN SUMNER COUNTY","Blacky Bandy Road In Oak Grove","Oak Grove","Sumner","DEC-12-1996","1246","SWP830001070","36.576972","-86.358028","-","-","COMPOSTING WOOD YARD WASTE BRUSH AND LEAVES","51475"
