"Site Number","Name","Alias","Address","Town","County","Acres","IC_Controls","Status","Substatus","Status Date","Program","Latitude","Longitude"
"REM01483","PINETTE'S SALVAGE YARD","","GARDNER CREEK ROAD","WASHBURN","AROOSTOOK",12,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/30/2002,"UNCONTROLLED SITES",46.77769,-68.16948
"REM01484","PORTLAND BANGOR WASTE OIL","","BURNT MILLS ROAD","WELLS","YORK",84,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",11/01/2009,"UNCONTROLLED SITES",43.33933,-70.60483
"REM02054","GTE CONTROL DEVICES","CONTROL DEVICES, INC","228 NORTHEAST ROAD","STANDISH","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/26/2016,"VRAP",43.74828,-70.53993
"REM02054","GTE CONTROL DEVICES","CONTROL DEVICES, INC","228 NORTHEAST ROAD","STANDISH","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/26/2016,"RCRA",43.74828,-70.53993
"REM02054","GTE CONTROL DEVICES","CONTROL DEVICES, INC","228 NORTHEAST ROAD","STANDISH","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/26/2016,"BROWNFIELDS-104K",43.74828,-70.53993
"REM00047","BRISTOL MUNICIPAL LANDFILL","","FOSTER ROAD","BRISTOL","LINCOLN",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",43.90425,-69.49588
"REM00194","LEEDS MUNICIPAL LANDFILL","","RIDGE ROAD","LEEDS","ANDROSCOGGIN",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",44.32427,-70.12833
"REM01097","STARBIRD CONSTRUCTION","","SOUTH MAIN STREET","PITTSFIELD","SOMERSET",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/31/2002,"VRAP",44.77503,-69.39183
"REM01083","BRANSCOM'S COAL AND WOOD","","MANCHESTER ROAD","MOUNT DESERT","HANCOCK",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/25/2002,"VRAP",44.29131,-68.29738
"REM00965","SECOND STREET PARK","","100 SECOND STREET","BANGOR","PENOBSCOT",4,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",10/18/2001,"VRAP",44.79557,-68.77746
"REM01500","NAVAL AIR STATION, BRUNSWICK","BRUNSWICK NAVAL AIR STATION","FITCH AVENUE","BRUNSWICK","CUMBERLAND",3094,"TRUE","REMEDIATION STAGE","ONGOING",10/01/1990,"SUPERFUND",43.9039,-69.92423
"REM01500","NAVAL AIR STATION, BRUNSWICK","BRUNSWICK NAVAL AIR STATION","FITCH AVENUE","BRUNSWICK","CUMBERLAND",3094,"TRUE","REMEDIATION STAGE","ONGOING",10/01/1990,"FEDERAL FACILITIES",43.9039,-69.92423
"REM01498","NASB SITE 9","","NEPTUNE DRIVE BLDG 219","BRUNSWICK","CUMBERLAND",0,"TRUE","REMEDIATION STAGE","ONGOING",01/01/1950,"SUPERFUND",43.89171,-69.92717
"REM01498","NASB SITE 9","","NEPTUNE DRIVE BLDG 219","BRUNSWICK","CUMBERLAND",0,"TRUE","REMEDIATION STAGE","ONGOING",01/01/1950,"FEDERAL FACILITIES",43.89171,-69.92717
"REM01497","NASB SITES 1 AND 3","","OLD GURNET ROAD","BRUNSWICK","CUMBERLAND",0,"TRUE","REMEDIATION STAGE","ONGOING",01/01/1950,"FEDERAL FACILITIES",43.88395,-69.93034
"REM01497","NASB SITES 1 AND 3","","OLD GURNET ROAD","BRUNSWICK","CUMBERLAND",0,"TRUE","REMEDIATION STAGE","ONGOING",01/01/1950,"SUPERFUND",43.88395,-69.93034
"REM01499","NASB SITE 2","","ORION STREET","BRUNSWICK","CUMBERLAND",0,"TRUE","REMEDIATION STAGE","ONGOING",01/01/1950,"SUPERFUND",43.88107,-69.9322
"REM01499","NASB SITE 2","","ORION STREET","BRUNSWICK","CUMBERLAND",0,"TRUE","REMEDIATION STAGE","ONGOING",01/01/1950,"FEDERAL FACILITIES",43.88107,-69.9322
"REM00404","WOODSTOCK MUNICIPAL LANDFILL","WOODSTOCK DUMP","ROUTE 232","WOODSTOCK","OXFORD",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1985,"LANDFILL CLOSURE",44.41151,-70.6425
"REM00956","JIFFY PRINT","493-499 BROADWAY","499 BROADWAY","BANGOR","PENOBSCOT",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",11/09/2015,"VRAP",44.81886,-68.77447
"REM01026","FORMER FRANKLIN SHOE FACILITY","","5010A HIGH STREET","FARMINGTON","FRANKLIN",7,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/18/2002,"VRAP",44.6578,-70.13433
"REM00997","CALAIS CAR WASH","CALAIS RITE AID","113 NORTH&23 CHANDLER ST","CALAIS","WASHINGTON",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/29/1998,"VRAP",45.18327,-67.28412
"REM00714","EASTERN SURPLUS CO","EASTERN SURPLUS COMPANY SUPERFUND SITE, EASTERN SURPLUS, DAM SITE, ES SITE","STONE ROAD","MEDDYBEMPS","WASHINGTON",5,"TRUE","REMEDIATION STAGE","ONGOING",07/01/1999,"UNCONTROLLED SITES",45.03895,-67.3583
"REM00714","EASTERN SURPLUS CO","EASTERN SURPLUS COMPANY SUPERFUND SITE, EASTERN SURPLUS, DAM SITE, ES SITE","STONE ROAD","MEDDYBEMPS","WASHINGTON",5,"TRUE","REMEDIATION STAGE","ONGOING",07/01/1999,"SUPERFUND",45.03895,-67.3583
"REM01050","700 ACRE ISLAND","","EMERY LANE","ISLESBORO","WALDO",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/27/2003,"VRAP",44.25617,-68.94186
"REM02053","O'CONNOR JUNKYARD SUPERFUND SITE","OCONNOR JUNKYARD OCONNOR COMPANY SUPERFUND SITE","ROUTE 17","AUGUSTA","KENNEBEC",23,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",04/25/2007,"SUPERFUND",44.30309,-69.7388
"REM01531","SILVEX","MAINE METAL FINISHING","ROUTE 22","GORHAM","CUMBERLAND",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/14/2012,"UNCONTROLLED SITES",43.64315,-70.40882
"REM01531","SILVEX","MAINE METAL FINISHING","ROUTE 22","GORHAM","CUMBERLAND",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/14/2012,"RCRA",43.64315,-70.40882
"REM00442","DAUPHIN DISPOSAL FACILITY","DAUPHIN LANDFILL","TARBOX HILL","BATH","SAGADAHOC",16,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/01/2013,"UNCONTROLLED SITES",43.8998,-69.8231
"REM01135","TALMA, INC.","","401 RIVERSIDE STREET","PORTLAND","CUMBERLAND",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/05/2001,"VRAP",43.68935,-70.32606
"REM01220","BICKFORD/DE","","US ROUTE 1/CLEAVES STREET","YARMOUTH","CUMBERLAND",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",08/20/1998,"VRAP",43.79794,-70.18905
"REM01490","DEFENSE FUEL SUPPLY POINT","DEFENSE FUEL FARM CASCO BAY TERMINAL, DEFENSE FUEL SUPPORT POINT","ROUTE 123","HARPSWELL","CUMBERLAND",117,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/22/2014,"FEDERAL FACILITIES",43.77817,-70.01452
"REM01490","DEFENSE FUEL SUPPLY POINT","DEFENSE FUEL FARM CASCO BAY TERMINAL, DEFENSE FUEL SUPPORT POINT","ROUTE 123","HARPSWELL","CUMBERLAND",117,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/22/2014,"UNCONTROLLED SITES",43.77817,-70.01452
"REM01490","DEFENSE FUEL SUPPLY POINT","DEFENSE FUEL FARM CASCO BAY TERMINAL, DEFENSE FUEL SUPPORT POINT","ROUTE 123","HARPSWELL","CUMBERLAND",117,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/22/2014,"UNCONTROLLED SITES",43.77817,-70.01452
"REM00942","AUGUSTA LUMBER CO.","MAINEGENERAL MEDICAL CENTER","108 ARSENAL STREET","AUGUSTA","KENNEBEC",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/10/1998,"VRAP",44.30923,-69.77031
"REM00942","AUGUSTA LUMBER CO.","MAINEGENERAL MEDICAL CENTER","108 ARSENAL STREET","AUGUSTA","KENNEBEC",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/10/1998,"VRAP",44.30923,-69.77031
"REM01053","JACKMAN SERVICE CENTER","","496 MAIN STREET","JACKMAN","SOMERSET",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",11/04/2002,"VRAP",45.62867,-70.26169
"REM01215","TRI-TANK ENGINEERING, INC.","","73 WARREN AVENUE","WESTBROOK","CUMBERLAND",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",08/07/2002,"VRAP",43.68625,-70.33472
"REM01170","GENERAL ALUM AND CHEMICAL CORP.","","KIDDER POINT ROAD","SEARSPORT","WALDO",20,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/12/1996,"VRAP",44.46587,-68.87929
"REM01059","DRAGON FLYZ (AKA KITTERY GETTY)","KITTERY GETTY","240 US ROUTE 1","KITTERY","YORK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/23/2002,"VRAP",43.10543,-70.74201
"REM00842","SEARSPORT PITS","","ROUTE 1","SEARSPORT","WALDO",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/01/1950,"UNCONTROLLED SITES",44.43814,-68.95065
"REM01488","FORMER MENARD PROPERTY","","159 CLEAVES ST","BIDDEFORD","YORK",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",01/01/1950,"UNCONTROLLED SITES",43.48996,-70.4428
"REM01485","TEXTECH INDUSTRIES","","MAIN STREET","MONMOUTH","KENNEBEC",23,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",09/25/2012,"UNCONTROLLED SITES",44.27421,-70.02648
"REM00734","NORTH BERWICK MUNICIPAL GARAGE","","LEBANON ROAD","NORTH BERWICK","YORK",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/21/2008,"UNCONTROLLED SITES",43.3248,-70.76061
"REM01037","GORHAM SHOPPERS VILLAGE","","94 - 108 MAIN STREET","GORHAM","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/02/1998,"VRAP",43.6814,-70.43846
"REM00974","BELFAST RITE AID","MAINE STREET RARED CO","256 MAIN STREET","BELFAST","WALDO",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/20/2016,"VRAP",44.42375,-69.01789
"REM01117","JORDAN FOODS, INC","","38 INDIA STREET","PORTLAND","CUMBERLAND",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",06/14/2011,"VRAP",43.66025,-70.25026
"REM00957","JORDANS MEATS - BANGOR","","216 THATCHER STREET","BANGOR","PENOBSCOT",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/27/2000,"VRAP",44.78639,-68.79059
"REM01095","BROWN PROPERTY","","116 PLEASANT COVE","PHIPPSBURG","SAGADAHOC",9,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",02/04/2002,"VRAP",43.86062,-69.7979
"REM00986","TAYLOR RENTAL","","295 CHAMBERLAIN STREET","BREWER","PENOBSCOT",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/10/2001,"VRAP",44.7846,-68.75108
"REM00002","ACTON MUNICIPAL LANDFILL","","H ROAD","ACTON","YORK",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",43.55744,-70.9137
"REM00003","ADDISON MUNICIPAL LANDFILL","ADDISON DUMP","229 WESCOGUS ROAD","ADDISON","WASHINGTON",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",44.61733,-67.71451
"REM01482","MAINE OIL RECYCLING","MAIN OIL RECYCLING,  MAIN WASTE OIL COLLECTION SERVICES","DEPOT ROAD OFF ROUTE 117","BUCKFIELD","OXFORD",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/21/2008,"UNCONTROLLED SITES",44.28722,-70.36778
"REM00006","ALFRED MUNICIPAL LANDFILL","","ROUTE 4","ALFRED","YORK",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1981,"LANDFILL CLOSURE",43.46536,-70.71978
"REM00011","ANDOVER MUNICIPAL LANDFILL","","ROUTE 5","ANDOVER","OXFORD",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1994,"LANDFILL CLOSURE",44.61607,-70.74882
"REM00012","ANSON MUNICIPAL LANDFILL","ANSON TOWN DUMP","PATTERSON BRIDGE ROAD","ANSON","SOMERSET",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",44.86144,-69.86793
"REM01043","MAINE MACK, INC","","150 LITTLEFIELD AVENUE","HERMON","PENOBSCOT",2,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/12/2001,"VRAP",44.77415,-68.86204
"REM01120","MAINE TANK COMPANY","","161-179 PRESUMPSCOT STREE","PORTLAND","CUMBERLAND",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/19/2001,"VRAP",43.68824,-70.25929
"REM01049","THOMPSON OIL COMPANY","","6 BUFFALO STREET","HOULTON","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/19/2001,"VRAP",46.11722,-67.8532
"REM01110","DURASTONE","DURASTONE PORTLAND","66 MILLIKEN STREET","PORTLAND","CUMBERLAND",13,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/03/2000,"VRAP",43.70472,-70.3046
"REM00944","BREWER'S DAIRY","","457 RIVERSIDE DRIVE","AUGUSTA","KENNEBEC",1,"TRUE","INVESTIGATION STAGE","NEED (AWAITING RESOURCES)",10/11/2001,"VRAP",44.34515,-69.75127
"REM01028","HANSON'S AUTO SALES","RITE AID FORT FAIRFIELD","283 MAIN STREET","FORT FAIRFIELD","AROOSTOOK",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/22/2016,"VRAP",46.77277,-67.83428
"REM01487","DANDS CORPORATION","DOWNEAST EMULSIONS","58 BENNETT STREET","BANGOR","PENOBSCOT",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/27/1999,"UNCONTROLLED SITES",44.78938,-68.83416
"REM01487","DANDS CORPORATION","DOWNEAST EMULSIONS","58 BENNETT STREET","BANGOR","PENOBSCOT",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",12/27/1999,"VRAP",44.78938,-68.83416
"REM01219","WALKER BOARDWAY","","139 CHEWONKI ROAD","WISCASSET","LINCOLN",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",06/14/1999,"UNCONTROLLED SITES",43.96311,-69.71575
"REM01219","WALKER BOARDWAY","","139 CHEWONKI ROAD","WISCASSET","LINCOLN",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",06/14/1999,"VRAP",43.96311,-69.71575
"REM00539","MCKIN CO","MCKIN COMPANY SUPERFUND SITE, MCKIN SITE, MCKIN","25 MAYALL ROAD","GRAY","CUMBERLAND",7,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/15/2001,"SUPERFUND",43.88421,-70.29439
"REM00539","MCKIN CO","MCKIN COMPANY SUPERFUND SITE, MCKIN SITE, MCKIN","25 MAYALL ROAD","GRAY","CUMBERLAND",7,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",03/15/2001,"UNCONTROLLED SITES",43.88421,-70.29439
"REM00014","APPLETON MUNICIPAL LANDFILL","APPLETON DUMP","SENNEBEC ROAD","APPLETON","KNOX",1,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",05/06/2011,"LANDFILL CLOSURE",44.27841,-69.24949
"REM00015","ARUNDEL MUNICIPAL LANDFILL","","MOUNTAIN ROAD","ARUNDEL","YORK",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1995,"LANDFILL CLOSURE",43.45076,-70.52572
"REM00018","AUBURN ASH LANDFILL","","POLAND SPRING ROAD","AUBURN","ANDROSCOGGIN",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",44.02918,-70.2803
"REM00018","AUBURN ASH LANDFILL","","POLAND SPRING ROAD","AUBURN","ANDROSCOGGIN",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"UNCONTROLLED SITES",44.02918,-70.2803
"REM01505","AUBURN INTERIM LANDFILL","","GRACELAWN ROAD","AUBURN","ANDROSCOGGIN",0,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1985,"LANDFILL CLOSURE",44.12586,-70.2375
"REM01504","AUBURN BRUSH/PIONITE DUST LANDFILL","","GRACELAWN ROAD","AUBURN","ANDROSCOGGIN",11,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",44.12647,-70.23887
"REM00019","AUBURN GRACELAWN LANDFILL","GRACELAWN WASTE DISPOSAL AREA","GRACELAWN ROAD","AUBURN","ANDROSCOGGIN",13,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1980,"LANDFILL CLOSURE",44.12429,-70.23828
"REM00019","AUBURN GRACELAWN LANDFILL","GRACELAWN WASTE DISPOSAL AREA","GRACELAWN ROAD","AUBURN","ANDROSCOGGIN",13,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1980,"UNCONTROLLED SITES",44.12429,-70.23828
"REM00023","GREATER AUGUSTA UTILITY DISTRICT LANDFILL","SLUDGE LANDFILL","HATCH HILL ROAD","AUGUSTA","KENNEBEC",16,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1999,"LANDFILL CLOSURE",44.32367,-69.71598
"REM00031","BELFAST MUNICIPAL LANDFILL","","PITCHER ROAD","BELFAST","WALDO",12,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1997,"LANDFILL CLOSURE",44.42107,-69.06762
"REM00032","BELGRADE MUNICIPAL LANDFILL","","DUNN ROAD","BELGRADE","KENNEBEC",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",44.47227,-69.88146
"REM00034","BERWICK SEWER DISTTRICT SLUDGE LANDFILL","","POWERHOUSE ROAD","BERWICK","YORK",5,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",43.25649,-70.84547
"REM00035","BETHEL MUNICIPAL LANDFILL","","ROUTE 2","BETHEL","OXFORD",8,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",44.48,-70.79319
"REM00036","BIDDEFORD MUNICIPAL LANDFILL","ANDREWS ROAD LANDFILL","ANDREWS ROAD","BIDDEFORD","YORK",20,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"LANDFILL CLOSURE",43.48232,-70.52976
"REM00036","BIDDEFORD MUNICIPAL LANDFILL","ANDREWS ROAD LANDFILL","ANDREWS ROAD","BIDDEFORD","YORK",20,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1993,"UNCONTROLLED SITES",43.48232,-70.52976
"REM00037","BINGHAM MUNICIPAL LANDFILL","","RTE 16 (RIDGE ROAD)","CONCORD TWP","SOMERSET",3,"TRUE","REMEDY IN PLACE: CLOSED","UNDERTAKING POST-CLOSURE OBLIGATIONS",07/31/1996,"LANDFILL CLOSURE",45.01839,-69.867
