"textbox2,textbox17,SiteName,LocAddr,SiteID,OperAddr,LocAddrCounty,FacContact,OperCompanyName,OpContact,DispAreaNumber,DispAreaTypeDescr,DispAreaStatusTypeDescr"
"All Solid Waste Disposal Areas Report,428008 - ANN ARBOR TS AND MRF,ANN ARBOR TS AND MRF,""4150 PLATT RD, ANN ARBOR, MI"",MIG000056173,""PO BOX 8647, ANN ARBOR, MI"",WASHTENAW,CURT CURAVO - (734) 971-8797,,TOM MCMURTRIE - (734) 794-6434,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,428008 - ANN ARBOR TS AND MRF,ANN ARBOR TS AND MRF,""4150 PLATT RD, ANN ARBOR, MI"",MIG000056173,""PO BOX 8647, ANN ARBOR, MI"",WASHTENAW,CURT CURAVO - (734) 971-8797,,TOM MCMURTRIE - (734) 794-6434,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,491716 - ANTWERP TOWNSHIP TRANSFER STATION,ANTWERP TOWNSHIP TRANSFER STATION,""28251 64 TH AVENUE, LAWTON, MI"",,""24821 FRONT AVENUE, MATTAWAN, MI"",VAN BUREN,(no contact) - (no phone),ANTWERP TOWNSHIP OFFICE,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491717 - BANGOR TRANSFER STATION,BANGOR TRANSFER STATION,""41559 63 RD STREET, BANGOR, MI"",,""32550 CR 687, BANGOR, MI"",VAN BUREN,LINDA POLAND - (269) 427-8965,BANGOR TOWNSHIP HALL,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,484589 - BEAVER CREEK TOWNSHIP TRANSFER FACILITY,BEAVER CREEK TOWNSHIP TRANSFER FACILITY,""SECTION 18, BEAVER CREEK TOWNSHIP, GRAYLING, MI"",,""8972 S GRAYLING RD, BEAVER CREEK TOWNSHIP, GRAYLING, MI"",CRAWFORD,(no contact) - (no phone),ED HOLTCAMP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470553 - BETZ FOUNDRY INC,BETZ FOUNDRY LANDFILL,""1850 WALDORF ST NW, GRAND RAPIDS, MI"",,""2029 BRISTOL AVE NW, GRAND RAPIDS, MI"",KENT,Greg BETZ - (616) 453-4429,BETZ FOUNDRY LANDFILL,Greg BETZ - (616) 453-4429,1),Type III Industrial Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,491718 - BLOOMINGDALE TRANSFER STATION,BLOOMINGDALE TRANSFER STATION,""500 WEST KALAMAZOO, BLOOMINGDALE, MI"",,""500 WEST KALAMAZOO, BLOOMINGDALE, MI"",VAN BUREN,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491418 - BLUE WATERS RECYCLING,BLUE WATERS RECYCLING,""3239 WEST M-28, BRIMLEY, MI"",,""3239 WEST M-28, BRIMLEY, MI"",CHIPPEWA,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,491418 - BLUE WATERS RECYCLING,BLUE WATERS RECYCLING,""3239 WEST M-28, BRIMLEY, MI"",,""3239 WEST M-28, BRIMLEY, MI"",CHIPPEWA,(no contact) - (no phone),,(no contact) - (no phone),2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,406671 - BRENT RUN LANDFILL INC,BRENT RUN LANDFILL,""8247 VIENNA RD, MONTROSE, MI"",MID985632819,""8335 VIENNA RD, MONTROSE, MI"",GENESEE,TIM CHURCH - (810) 444-0811,,TIM CHURCH - (810) 444-0811,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,405721 - C&C LANDFILL,C & C EXPANDED SANITARY LANDFILL,""14800 P DR N, MARSHALL, MI"",MID985618420,""14800 P DR N, MARSHALL, MI"",CALHOUN,GLEN GOESTENKORS - (269) 781-9742,,GLEN GOESTENKORS - (269) 781-9742,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,491695 - CAMDEN TOWNSHIP TRANSFER STATION,CAMDEN TOWNSHIP TRANSFER STATION,""9700 BROTT ROAD, MONTGOMERY, MI"",,""111 S. MAIN, CAMDEN, MI"",BRANCH,ROBERT TIPLADY - (517) 368-4925,CAMDEN TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,463696 - CANTON WASTE RECYCLING,CANTON WASTE RECYCLING,""42020 VAN BORN RD, CANTON, MI"",MIK688813252,""42020 VAN BORN RD, CANTON, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491704 - CASCO TOWNSHIP TRANSFER STATION,CASCO TOWNSHIP TRANSFER STATION,""6971 103 RD AVENUE, SOUTH HAVEN, MI"",,""7104 107TH AVENUE, SOUTH HAVEN, MI"",VAN BUREN,ALAN OVERHISER - (269) 637-4441,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,447506 - CASTLETON-MAPLE GROVE-NASHVILLE TRANSFER STATION,CASTLETON-MAPLE GROVE-NASHVILLE TRANSFER STATION,""EAST CASGROVE RD, NASHVILLE, MI"",MIG000031548,""203 NORTH MAIN, NASHVILLE, MI"",BARRY,ROD CROTHERS - (269) 758-3596,VILLAGE OF NASHVILLE,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466460 - CEDAR CREEK TOWNSHIP TRANSFER STATION,CEDAR CREEK TOWNSHIP TS,""6871 HOLTON DUCK LAKE RD, TWIN LAKE, MI"",,""6556 SWEETER ROAD, TWIN LAKE, MI"",MUSKEGON,STEPHANIE KUZIAK - (231) 821-0014,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,416499 - CENTRAL SANITARY LANDFILL INC,CENTRAL SANITARY LANDFILL,""21545 W CANNONSVILLE RD, PIERSON, MI"",MIK218851863,""21545 W CANNONSVILLE ROAD, PIERSON, MI"",MONTCALM,DEBBIE NURMI - (616) 437-8408,,ROGER ROCKBURN - (616) 292-8114,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,417684 - CENTRAL WAYNE ENERGY RECOVERY LIMITED PARTNERSHIP,CENTRAL WAYNE COUNTY SANITATION AUTHORITY,""4901 S INKSTER RD, DEARBORN HEIGHTS, MI"",MIG000003491,""4901 S INKSTER RD, DEARBORN HEIGHTS, MI"",WAYNE,(no contact) - (no phone),,WILLIAM LONG - (313) 292-8877,1),Solid Waste Transfer Facility,Active - Closing"
"All Solid Waste Disposal Areas Report,444962 - CENTRAL WAYNE ENERGY RECOVERY LIMITED PARTNERSHIP,CWCSA HURON MONOFIL,""28200 S HURON RD, SANITATION SERVICES, FLAT ROCK, MI"",MIG000037003,""3759 COMMERCE CT, WAYNE, MI"",WAYNE,(no contact) - (no phone),,STEVE AYNES - (734) 722-9980,1),Type II MSW Incinerator Ash Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,491705 - CHESHIRE TOWNSHIP TRANSFER STATION,CHESHIRE TOWNSHIP TRANSFER STATION,""4108 106 TH AVENUE, ALLEGAN, MI"",,""630 S. 38TH STREET, ALLEGAN, MI"",ALLEGAN,(no contact) - (no phone),CHESHIRE TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,479287 - CHURCHILL TOWNSHIP TRANSFER STATION,CHURCHILL TOWNSHIP TRANSFER STATION,""QUIGLEY RD, SECTION 15, CHURCHILL TWP, WEST BRANCH, MI"",,""2211 RIFLE RIVER TRAIL, WEST BRANCH, MI"",OGEMAW,JOHN CLARK - (989) 345-3153,CHURCHILL TOWNSHIP ,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470517 - CITIZEN'S DISPOSAL INC,CITIZENS DISPOSAL INC,""2361 W GRAND BLANC RD, GRAND BLANC, MI"",MIK163187743,""2361 W GRAND BLANC RD, GRAND BLANC, MI"",GENESEE,ROBERT THORNTON - (810) 655-4207,,ROBERT THORNTON - (810) 655-4207,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470518 - CITY ENVIRONMENTAL SERVICES,CITY ENVIROMENTAL SERVICES OF MONTROSE,""247 W SOUTH ST, ITHACA, MI"",,""1311 N NIAGARA ST, SAGINAW"
"SAGINAW, MICHIGA, MI"",GRATIOT,MARY FISHER - (517) 875-4608,CITY ENVIROMENTAL SERVICES OF MONTROSE,BOB WOLVERTON - (517) 752-4100,1),Solid Waste Transfer Facility,Post-Closure"
"All Solid Waste Disposal Areas Report,407066 - CITY ENVIRONMENTAL SERVICES INC OF WATERS,CITY ENVIRONMENTAL SERVICES INC OF WATERS,""11375 SHERMAN RD, FREDERIC, MI"",MID985640648,""11375 SHERMAN RD, FREDERIC, MI"",CRAWFORD,DEBORA JOHNSTON - (989) 539-6111,,JIM PALMER - (989) 732-3553,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470343 - CITY ENVIRONMENTAL SERVICES LANDFILL  INC OF HAST,CES LANDFILL INC OF HASTINGS,""1899 N M 43 HWY, HASTINGS, MI"",MIK199519299,""PO BOX 336, HASTINGS, MI"",BARRY,STEVE ESSLING - (269) 945-2260,,DON JOHNSON - (616) 945-2260,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470531 - CITY ENVIRONMENTAL SERVICES LF INC OF LAPEER,PIONEER ROCK LANDFILL,""7315 DEANVILLE RD, BROWN CITY, MI"",MID985566207,""3965 OKEMOS RD, HERITAGE OFFICE PARK, OKEMOS, MI"",LAPEER,RICH PAAJANEN - (248) 391-0990,KENT BAINBRIDGE,JAMES SCHMIEDER - (810) 749-9698,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,470530 - CITY ENVIRONMENTAL SERVICES OF MONTROSE,OWOSSO TRANSFER STATION-CES OF MONTROSE,""509 S SAGINAW ST, OWOSSO, MI"",,""11664 E CORUNNA RD, LENNON, MI"",SHIAWASSEE,JAMES WILSON - (810) 743-7430,,JAMES WILSON - (810) 743-7430,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,447227 - CITY OF DEARBORN DEPT OF PUBLIC WORKS,DEARBORN TRANSFER STATION,""2651 GREENFIELD RD, DEARBORN, MI"",MIG000031578,""2651 GREENFIELD RD, DEARBORN, MI"",WAYNE,JAMES NIEDBALA - (810) 757-7340,,KURT GIBERSON - (313) 943-2085,1),Solid Waste Transfer Facility,Beyond Post-Closure"
"All Solid Waste Disposal Areas Report,407232 - CITY OF DETROIT DEPARTMENT OF PUBLIC WORKS,CITY OF DETROIT DPW DAVISON YARD,""8221 W DAVISON, DETROIT, MI"",MID985642917,""8221 W DAVISON, DETROIT, MI"",WAYNE,CRYSTAL ROGERS - (313) 870-5232,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,483045 - CITY OF DETROIT DEPARTMENT OF PUBLIC WORKS,SOUTHFIELD YARD,""12315  SOUTHFIELD ROAD, DETROIT, MI"",MIK772864583,""2 WOODWARD AVE, CAYMC, DPW, 5TH FLOOR, DETROIT, MI"",WAYNE,ALFRED ORDAN - (313) 876-0002,,WILL MALONE - (313) 852-4590,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,490403 - CITY OF DETROIT DPW ANTHON YARD,CITY OF DETROIT DPW ANTHON YARD,""5840 ANTHON, DETROIT, MI"",,""5800 RUSSELL, DETROIT, MI"",WAYNE,CRYSTAL ROGERS - (313) 870-5232,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,490402 - CITY OF DETROIT DPW STATE FAIR YARD,CITY OF DETROIT DPW STATE FAIR YARD,""19715 JOHN R, HIGHLAND PARK, MI"",,""5800 RUSSELL , DETROIT, MI"",WAYNE,CRYSTAL ROGERS - (313) 870-5232,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,406277 - CITY OF INKSTER PUBLIC WORKS,INKSTER CITY OF PUBLIC WORKS,""26900 PRINCETON ST, INKSTER, MI"",MID985625508,""26900 PRINCETON ST, INKSTER, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,455880 - CITY OF LINCOLN PARK,CITY OF LINCOLN PARK,""500 SOUTHFIELD RD, DEPARTMENT OF PUBLIC WORKS, LINCOLN PARK, MI"",MIG000012749,""500 SOUTHFIELD RD, DEPARTMENT OF PUBLIC WORKS, LINCOLN PARK, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470471 - CITY OF LIVONIA,CITY OF LIVONIA LANDFILL,""32500 GLENDALE AVE., LIVONIA, MI"",,""12973 FARMINGTON RD, LIVONIA, MI"",WAYNE,KEVIN MAILLARD - (734) 466-2606,CITY OF LIVONIA LANDFILLL,KEVIN MAILLARD - (734) 466-2606,1),Type III C&D Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,475981 - CITY OF MANISTIQUE,CITY OF MANISTIQUE LANDFILL,""M 94 NORTH, MANISTIQUE, MI"",,""300 N MAPLE ST, PO BOX 515, MANISTIQUE, MI"",SCHOOLCRAFT,(no contact) - (no phone),,(no contact) - (no phone),1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,435938 - CITY OF MENOMINEE,CITY OF MENOMINEE PUBLIC WORKS,""1301 5TH AVE, MENOMINEE, MI"",MIK267485571,""PO BOX 453, MENOMINEE, MI"",MENOMINEE,MIKE CRAMER - (906) 863-1747,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470453 - CITY OF MIDLAND,CITY OF MIDLAND SANITARY LANDFILL,""4311 E ASHMAN RD, MIDLAND, MI"",,""333 W ELLSWORTH, MIDLAND, MI"",MIDLAND,SCOTT O'LAUGHLIN - (989) 839-6535,CITY OF MIDLAND LANDFILL,Scott O'Laughlin - (989) 839-6535,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,439506 - CITY OF MORRICE,CITY OF MORRICE,""401 MAIN ST, MORRICE, MI"",MIG000047676,""401 MAIN ST, MORRICE, MI"",SHIAWASSEE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,400889 - CITY OF NORTHVILLE DEPT OF PUBLIC WORKS,NORTHVILLE CITY YARDS FACILITY,""650 DOHENY DR, NORTHVILLE, MI"",MID982206997,""215 WEST MAIN STREET, NORTHVILLE, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,400402 - CITY OF PLYMOUTH DEPARTMENT OF PUBLIC WORKS,PLYMOUTH CITY OF DEPT PUBLIC WORKS,""1231 GOLD SMITH, PLYMOUTH, MI"",MID981801780,""1231 GOLD SMITH, PLYMOUTH, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,456441 - CITY OF PONTIAC,COLLIER ROAD LANDFILL,""575 COLLIER RD, PONTIAC, MI"",MIK254279334,""575 COLLIER RD, PONTIAC, MI"",OAKLAND,JOHN BALINT - (248) 758-3615,MR. BRAD WARREN,JOHN BALINT - (248) 758-3615,1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,483894 - CITY OF PONTIAC TRANSFER STATION,CITY OF PONTIAC TRANSFER STATION,""501 COLLIER RD, PONTIAC, MI"",MIK153495825,""575 COLLIER RD, AUBURN HILLS, MI"",OAKLAND,(no contact) - (no phone),,DAVE ECKHARDT - (248) 462-7035,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,483894 - CITY OF PONTIAC TRANSFER STATION,CITY OF PONTIAC TRANSFER STATION,""501 COLLIER RD, PONTIAC, MI"",MIK153495825,""575 COLLIER RD, AUBURN HILLS, MI"",OAKLAND,(no contact) - (no phone),,DAVE ECKHARDT - (248) 462-7035,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,399054 - CITY OF RIVERVIEW,RIVERVIEW LAND PRESERVE,""20863 GRANGE ROAD, RIVERVIEW, MI"",MID980608657,""20863 GRANGE RD, RIVERVIEW, MI"",WAYNE,ROBERT BOBECK - (734) 785-5927,,DOUG  DRYSDALE - (734) 281-4236,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,457391 - CITY OF SOUTHGATE,CITY OF SOUTHGATE,""14719 SCHAFER CT, SOUTHGATE, MI"",MIG000008734,""14719 SCHAFER CT, SOUTHGATE, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,452810 - CITY OF TRENTON,CITY OF TRENTON,""1801 VAN HORN RD, TRENTON, MI"",MIG000020632,""1801 VAN HORN RD, TRENTON, MI"",WAYNE,ALAN BOBER - (734) 675-8470,,FRANK WEBER - (734) 675-6500,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470473 - CITY OF WARREN SANITATION DIVISION,CITY OF WARREN REFUSE TRANSFER STATION,""14100 HAROLD AVE, WARREN, MI"",,""25601 FLANDERS AVE, WARREN, MI"",MACOMB,GUS GHANAM - (586) 775-1400,CITY OF WARREN REFUSE TRANSFER STATION,GUS GHANAM - (586) 775-1400,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,408633 - CITY OF WOODHAVEN PUBLIC SERVICE DEPT,CITY OF WOODHAVEN PUBLIC SERVICE DEPT,""21840 VAN HORN RD, WOODHAVEN, MI"",MID985660927,""21869 WEST RD, WOODHAVEN, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,468249 - CITY OF WYAND0TTE,DEPARTMENT OF PUBLIC SERVICE,""4201 13TH ST, WYANDOTTE, MI"",MIK224657858,""4201 13TH ST, WYANDOTTE, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,395187 - CITY SAND & LANDFILL INC,CITY SAND & LANDFILL INC,""46805 WILLOW RD, BELLEVILLE, MI"",MID020850442,""3965 OKEMOS RD, OKEMOS, MI"",WAYNE,PAUL MAZANEC - (734) 461-6500,HERITAGE OFFICE PARK,(no contact) - (no phone),1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,395187 - CITY SAND & LANDFILL INC,CITY SAND & LANDFILL INC,""46805 WILLOW RD, BELLEVILLE, MI"",MID020850442,""3965 OKEMOS RD, OKEMOS, MI"",WAYNE,PAUL MAZANEC - (734) 461-6500,HERITAGE OFFICE PARK,(no contact) - (no phone),2),Type II MSW Incinerator Ash Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,402306 - CITY STAR SERVICES INC,ALLIED WASTE SERVICES OF KALAMAZOO,""3432 GEMBRIT CIR, KALAMAZOO, MI"",MID985573989,""3432 GEMBRIT CIR, KALAMAZOO, MI"",KALAMAZOO,DEBBIE NURMI - (616) 837-7316,,SCOTT HUNTER - (616) 216-8030,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,402306 - CITY STAR SERVICES INC,ALLIED WASTE SERVICES OF KALAMAZOO,""3432 GEMBRIT CIR, KALAMAZOO, MI"",MID985573989,""3432 GEMBRIT CIR, KALAMAZOO, MI"",KALAMAZOO,DEBBIE NURMI - (616) 837-7316,,SCOTT HUNTER - (616) 216-8030,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,""470435 - CITY-STAR SERVICES, INC."",COLDWATER TRANSFER STATION,""213 W GARFIELD AVE, COLDWATER, MI"",,""100 E NORTH ST, KALAMAZOO, MI"",BRANCH,DAN MAGOUN - (317) 921-1667,RELIABLE DISPOSAL INC,BOB TENHAAF - (877) 268-3867,1),Solid Waste Transfer Facility,Active - Closing"
