Report Submission Source,Report Number,Multiple Rows per Incident,Report Type,Date of Incident,Time of Incident,NRC Number,Federal DOT Agency Name,Federal DOT Report Number,Incident City,Incident County,Incident State,Incident Postal Code,Incident Non-US State,Incident Country,Incident Route,Mode of Transportation,Transportation Phase,Carrier/Reporter Name,Carrier/Reporter Street Name,Carrier/Reporter City,Carrier/Reporter State,Carrier/Reporter Postal Code,Carrier/Reporter Non-US State,Carrier/Reporter FED DOT ID,Carrier/Reporter HAZMAT Reg ID,Carrier/Reporter Country,Shipper Name,Shipper Street Name,Shipper City,Shipper State,Shipper Postal Code,Shipper Non-US State,Shipper Country,Shipper Waybill/Shipping Paper,Shipper HAZMAT Registration ID,Origin City,Origin State,Origin Postal Code,Origin Non-US State,Origin Country,Destination City,Destination State,Destination Postal Code,Destination Non-US State,Destination Country,Commodity Short Name,Commodity Long Name,Technical/Trade Name,Identification Number,Hazardous Class Code,Hazardous Class,Packing Group,Quantity Released,Unit of Measure,HAZMAT Waste Indicator,HAZMAT Waste EPA Number,HMIS Toxic by Inhalation Ind,TIH Hazard Zone,Material Shipment Approval Ind,Material Shipment Approval Nbr,Undeclared HAZMAT Shipment Ind,Packaging Type,What Failed Code,What Failed Description,How Failed Code,How Failed Description,Failure Cause Code,Failure Cause Description,Identification Markings,Cont1 Packaging Type,Cont1 Material of Construction,Cont1 Head Type,Cont1 Package Capacity,Cont1 Package Capacity UOM,Cont1 Package Amount,Cont1 Package Amount UOM,Cont1 Pkg Number in Shipment,Cont1 Pkg Shipment Nbr Failed,Cont1 Package Manufacturer,Cont1 Pkg Manufacturer Date,Cont1 Package Serial Number,Cont1 Package Last Test Date,Cont1 Test Material Of Const,Cont1 Pkg Dsign Pressure Rpted,Cont1 Dsign Pressure UOM Rpted,Cont1 Pkg Shell Thickness Rptd,Cont1 Shell Thickness UOM Rptd,Cont1 Head Thickness Reported,Cont1 Head Thickness UOM Rpted,Cont1 Pkg Srvc Pressure Rpted,Cont1 Srvc Pressure UOM Rpted,Cont1 Valve or Device Fail Ind,Cont1 Valve or Device Type,Cont1 Val Device Manufacturer,Cont1 Valve or Device Model,Cont2 Package Type,Cont2 Material of Construction,Cont2 Package Capacity,Cont2 Capacity UOM Reported,Cont2 Package Amount,Cont2 Package Amount UOM,Cont2 Pkg Number in Shipment,Cont2 Pkg Shipment Nbr Failed,RAM Package Category,RAM Package Certification,RAM Package Certification Nbr,RAM Nuclide(s) Present,RAM Transport Index,RAM UOM,RAM Activity Rpted,RAM UOM Rpted,RAM Activity,RAM Activity UOM,RAM Material Safety Index,Spillage (Result) Ind,Fire (Result) Ind,Explosion (Result) Ind,Water Sewer (Result) Ind,Gas Dispersion (Result) Ind,Environmental Damage (Result),No Release (Result) Ind,Fire/EMS Report Ind,Fire EMS/EMS Report Nbr,Police Report Ind,Police Report Nbr,In-House Cleanup Ind,Other Cleanup Ind,Damage More Than 500,Material Loss,Carrier Damage,Property Damage,Response Cost,Remediation Cleanup Cost,Damage Other (Old Form),Total Amount of Damages,HAZMAT Fatality Indicator,HAZMAT Fatalities Employees,HAZMAT Fatalities Responders,HAZMAT Fatality General Public,Total Hazmat Fatalities,Non_HAZMAT Fatality Indicator,Non-HAZMAT Fatalities,HAZMAT Injury Indicator,HAZMAT Hospitalized Employees,HAZMAT Hospitalized Responders,HAZMAT Hospitalized Gen Public,HAZMAT Hospitalized (Old Form),Total Hazmat Hosp Injuries,HAZMAT NonHosp Employees,HAZMAT NonHosp Responders,HAZMAT NonHosp General Public,HAZMAT NonHosp (Old Form),Total Hazmat NonHosp Injuries,Total Hazmat Injuries,Evacuation Indicator,Public Evacuated,Employees Evacuated,Total Evacuated,Total Evacuation Hours,Major Artery Closed,Major Artery Hours Closed,Material Involved in Accident,Estimated Speed,Weather Conditions,Vehicle Overturn,Vehicle Left Roadway/Track,Passenger Aircraft Indicator,Cargo Passenger Baggage Ind,Incident Occurrence,Shipphase Non-Transported Ind,Shipphase Air First Flight Ind,Shipphase Air SubFlight Ind,Shipphase Init Transport Ind,Shipphase Transfer Indicator,Contact Name,Contact Title,Contact Business Name,Contact Street,Contact City,Contact State,Contact Postal Code,Contact Non-US State,Contact Country,Preparer of Incident Report,Description of Events,Recommendations/Actions Taken,HMIS Serious Incident Ind,HMIS Serious Fatality,HMIS Serious Injury,HMIS Serious Flight Plan,HMIS Serious Evacuations,HMIS Serious Major Artery,HMIS Serious Bulk Release,HMIS Serious Marine Pollutant,HMIS Serious Radioactive,HMIS General Package Type,HMIS Container Code,HMIS Container Description,HMIS Bulk Incident Indicator,Undeclared Shipment
Paper,I-2001020820,No,A hazardous material incident,01/23/2001,1730,,,,VISALIA,TULARE,CA,,,US,9510 AIRPORT DRIVE,Air,LOADING,FEDERAL EXPRESS CORPORATION,3670 HACKS CROSS RD G,MEMPHIS,,38125,TN,946522,,UNITED STATES,U S GOVT - NAVY,LEMOORE NAVAL AIR STA,LEMOORE,,93245,CA,UNITED STATES,484-4722-5205 3,,LEMOORE,CALIFORNIA,93245,,US,JACKSONVILLE,FLORIDA,32210,,US,DANGEROUS GOODS IN MACHI,DANGEROUS GOODS IN MACHINERY OR DANGEROUS GOODS IN APPARATUS,MAIN FUEL PUMP,UN3363,9,MISCELLANEOUS HAZARDOUS MATERIAL,,0.052834,LGA,No,,No,,No,,Yes,Non-Bulk,103,Basic Material,,,,,,,,,2.50,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,2.50,LGA,,,1,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,PHILIP GETSKE,SR SAFETY SPECIALIST,FEDERAL EXPRESS CORPORATION,3670 HACKS CROSS RD,MEMPHIS,TN,38125,,US,,DURING THE PM LOADING OPERATIONS THIS SHIPMENT WAS FOUND TO BE WET.  A STRONG ODOR OF JET FUEL WAS PRESENT.  UPON CLOSER INSPECTION  IT WAS DETERMINED THAT THE INNER UNIT APPEARS TO BE AN AIRCRAFT FUEL CONTROL UNIT WHICH LEAKED JET FUEL.  THE UNIT WAS NOT PROPERLY DRAINED AND PURGED.  THE OUTER PACKAGE WAS NOT MARKED.  LABELED OR DOCUMENTED TO CONTAIN DANGEROUS GOODS.  THE SHIPMENT WAS HELD PENDING FAA INVESTIGATION.  THE FAA WAS NOTIFIED.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,Yes
Paper,I-2013100069,No,A hazardous material incident,09/26/2013,0018,,,,MEMPHIS,SHELBY,TN,38194,,US,2903 SPRANKLE DR,Air,IN TRANSIT STORAGE,FEDERAL EXPRESS CORPORATION,3670 HACKS CROSS RD G,MEMPHIS,,38125,TN,946522,060613004001V,UNITED STATES,MANKIEWICZ GEBR. & CO.,GEORG-WILHELM-STRASSE,HAMBURG,,N/A,ZZ,GERMANY,854798875607,,,,,,,DORAL,FLORIDA,33172,,US,PAINT INCLUDING PAINT  L,PAINT INCLUDING PAINT  LACQUER  ENAMEL  STAIN  SHELLAC SOLUTIONS  VARNISH  POLISH  LIQUID FILLER AND LIQUID LACQUER BASE,,UN1263,3,FLAMMABLE - COMBUSTIBLE LIQUID,III,1.999843,LGA,No,,No,,No,,No,Non-Bulk,103,Basic Material,309,Punctured,513,Forklift Accident,4G/Y15/S/13/D/BAM 12609-CF,Box,Fiberboard,,7.132644,LGA,7.132644,LGA,40,2,,,,,,,,,,,,,,No,,,,Can,Metal (any type),3.7850,LLT,3.7850,LLT,6,2,,FALSE,,,,,,,0,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,AIR CARRIER CARGO FACILITY,No,Yes,No,No,No,VIVIAN MONTGOMERY,SR SAFETY SPECIALIST,FEDERAL EXPRESS CORPORATIO,3670 HACKS CROSS RD,MEMPHIS,TN,38125,,US,Carrier,THERE WERE TWO PALLETS IN THE SHIPMENT AND 2 PACKAGES WERE DAMAGED BY THE FORKLIFT OPERATE WHEN THE FORKS SPEARED THEM IN THE SIDE,NO COMMENTS PROVIDED.,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,4G,Fiberboard box,No,No
Paper,I-1996081156,No,A hazardous material incident,08/09/1996,2240,,,,RICHMOND,RICHMOND (CITY),VA,,,US,9601 COACH ROAD,Highway,IN TRANSIT,UNITED PARCEL SERVICE  INC.,55 GLENLAKE PKWY,ATLANTA,,30328,GA,21800,,UNITED STATES,H MEER DENTAL SUPPLY CO,7277 N HAGGERTY RD,CANTON,,48187,MI,UNITED STATES,,,CANTON,MICHIGAN,48187,,US,RICHMOND,VIRGINIA,23226,,US,ISOPROPANOL OR ISOPROPYL,ISOPROPANOL OR ISOPROPYL ALCOHOL,ISOPROPYL ALCOHOL 70,UN1219,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.25,LGA,No,,No,,No,,No,Non-Bulk,,,,,,,,,,,1,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,1,LGA,,,1,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,5,0,0,0,0,0,5,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,J BROCKWELL,DESIGNATED RESPONDER,,,,,,,US,,SPILL WAS DISCOVERED ON SLIDE AT THE BEGININING OF SORT. PACKAGE CONTENTS WERE IDENTIFIED BY EXTERNAL MARKINGS AND LABELING. I RESPONDED USING DECISION TREE AND PROPER HAZARDOUS MATERIAL RESPONSE SHEET AND TRANSPORTED PACKAGE TO DMP AREA.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,4G,Fiberboard box,No,No
Paper,I-2006101008,No,A hazardous material incident,09/08/2006,0900,,,,WEST SACRAMENTO,YOLO,CA,95691,,US,830 E STREET,Highway,IN TRANSIT,USF BESTWAY INC.,3517 EMBASSY PKWY,AKRON,,44333,OH,118341,061405022004NP,UNITED STATES,SHERWIN-WILLIAMS AUTOMOTIVE FINISHES CORP.,1444 STANISLAUS ST,FRESNO,,93706,CA,UNITED STATES,3950112026,,FRESNO,CALIFORNIA,93706,,US,WOODLAND,CALIFORNIA,95776,,US,PAINT INCLUDING PAINT  L,PAINT INCLUDING PAINT  LACQUER  ENAMEL  STAIN  SHELLAC SOLUTIONS  VARNISH  POLISH  LIQUID FILLER AND LIQUID LACQUER BASE,BLACK WINGTACK,UN1263,3,FLAMMABLE - COMBUSTIBLE LIQUID,II,1.50,LGA,No,,No,,No,,No,Non-Bulk,109,Closure (e.g.  Cap  Top  or Plug),308,Leaked,515,Human Error,,Box,Fiberboard,,3,LGA,3,LGA,1,1,,,,,,,,,,,,,,No,,,,Can,Metal (any type),1,LGA,1,LGA,3,3,,FALSE,,,,,,,0,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,MICHAEL N. WINDSOR,MANAGER - HAZARDOUS MATERIALS,USF REDDAWAY,PO BOX 1035,CLACKAMAS,OR,97015,,US,Carrier,WHILE UNLOADING  IT WAS DISCOVERED A CARTON CONTAINING THREE 1 GALLON PAILS OF PAINT WERE FOUND LEAKING DUE TO LIDS ON EACH PAIL WERE NOT TIGHTENED  ALLOWING SOME PAINT TO LEAK OUT FROM ALL 3 PAILS. THE PAILS AND AFFECTED MATERIALS WERE PLACED INTO PROPERLY MARKED  LABELED AND LINED SALVAGE DRUMS. THE DRUMS ARE BEING HELD   PENDING DISPOSITION.,SHIPPER SHOULD SECURE THE LIDS COMPLETELY PRIOR TO PACKAGING AND SHIPPING.,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-1998100670,No,A hazardous material incident,09/10/1998,0600,,,,BAKERSFIELD,KERN,CA,,,US,SOUTH UNION AVENUE,Highway,UNLOADING,FEDEX GROUND PACKAGE SYSTEM  INC.,1000 FED EX DR,CORAOPOLIS,,15108,PA,265752,,UNITED STATES,S C JOHNSON WAX ( DSI ),3030 SYLVANIA AVE,STURTEVANT,,53177,WI,UNITED STATES,531 0531090 0914,,STURTEVANT,WISCONSIN,53177,,US,BAKERSFIELD,CALIFORNIA,93313,,US,CORROSIVE LIQUID  BASIC ,CORROSIVE LIQUID  BASIC  INORGANIC  N.O.S.,,UN3266,8,CORROSIVE MATERIAL,,0.25,LGA,No,,No,,No,,No,Non-Bulk,109; 103,Closure (e.g.  Cap  Top  or Plug); Basic Material,; ,; ,526; 538,Loose Closure  Component  or Device; Water Damage,,,,,3,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,3,LGA,,,1,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,100,0,0,0,25,0,125,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,JERRY FREEMAN,HAZMAT COORDINATOR,,,,,,,US,,Package was unloaded with leakage noted on the box. Examination of the inner container revealed that the container(s) had loose cap(s) and leaked. The leakage was contained. The cap(s) were secured. Carton was wet but otherwise undamaged. Package was repacked for return to the shipper.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-2004020526,No,A hazardous material incident,02/04/2004,1500,,,,WAUWATOSA,MILWAUKEE,WI,,,US,11101 W PLANK CT,Air,LOADING,FEDERAL EXPRESS CORPORATION,3670 HACKS CROSS RD G,MEMPHIS,,38125,TN,946522,,UNITED STATES,FLUKA CHEMIE GMBH,INDUSTRIESTRASSE 25,BUCHS,,9470,ZZ,SWITZERLAND,649434183680,,,,,,,MILWAUKEE,WISCONSIN,53233,,US,ESTERS  N.O.S.,ESTERS  N.O.S.,DOWANOL PMA,UN3272,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.264172,LGA,No,,No,,No,,No,Non-Bulk,103,Basic Material,305,Crushed,,,,,,,0.264172,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,0.264172,LGA,,,1,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,VIVIAN MONTGOMERY,SR SAFETY SPEC/DNG GOODS,,,,,,,US,,APPARENTLY THE BOTTLE BROKE AND CAUSED AN EMPLOYEE TO HAVE BREATHING PROBLEMS.  THE EMPLOYEE HAD ASTHMA.  ALSO THE RECIEPT MR. PETER MEHN REPORTABLY HAD JITTERS.  THE LEAK WAS FOUND AT THE CUSTOMER LOCATION.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-2005120435,No,A hazardous material incident,12/01/2005,0242,,,,WILMINGTON,CLINTON,OH,45177,,US,145 HUNTER DRIVE,Air,IN TRANSIT STORAGE,ABX AIR  INC.,145 HUNTER DR,WILMINGTON,,45177,OH,392830,072503550018LN,UNITED STATES,TREATMENT ASSESSMENT SCREENING CENTER  INC.,2234 N 7TH ST,PHOENIX,,85006,AZ,UNITED STATES,68211736526,,PHOENIX,ARIZONA,85006,,US,GRETNA,LOUISIANA,70053,,US,DIAGNOSTIC SPECIMEN,DIAGNOSTIC SPECIMEN,DIAGNOSTIC SPECIMAN, ,6.2,INFECTIOUS SUBSTANCE (ETIOLOGIC),,0.046875,LGA,No,,No,,No,,No,Non-Bulk,109,Closure (e.g.  Cap  Top  or Plug),308,Leaked,517,Improper Preparation for Transportation,LAB PACK,Bag,Plastic,,0,,0,,1,0,,,,,,,,,,,,,,No,,,,Bottle,Plastic,6,LOZ,6,LOZ,5,1,,FALSE,,,,,,,0,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,SORT CENTER,No,Yes,Yes,No,Yes, THERESA ANTHONY ,HAZARDOUS MATERIAL SPECIALIST,,,,,,,,Carrier,FILE-05-405 DOT    SHIPPER- TASC      AWB#- SOW 68211736526 NEW  ON 12/01/2005 AT 0242  A LEAKING SHIPMENT WAS REPORTED IN  A  BUILDING OF OUR MAIN SORT FACILITY LOCATED AT ABX AIR INC 145 HUNTER DRIVE WILMINGTON OHIO 45177. SPILL TECHNICIAN GARY GRAGG DONNED PROPER PERSONAL PROTECTIVE EQUIPMENT AND RESPONDED. UPON ARRIVAL  HE FOUND A LAB PACK WITH VISIBLE SIGNS OF LEAKAGE ON THE INSIDE OF THE PACKAGE. HE REMOVED THE PACKAGE FROM THE AREA AND BEGAN HIS INVESTIGATION. UPON THIS INVESTIGATION  HE FOUND THIS PACKAGE TO CONTAIN DIAGNOSTIC SPECIMENS. DUE TO A LOOSE CLOSURE  6 OUNCES OF THE PRODUCT WAS LOST. THIS SHIPMENT ARRIVED INTO WILMINGTON VIA FLIGHT #415.  THIS SHIPMENT WAS PROPERLY DECLARED AS A DIAGNOSTIC SPECIMEN WITH THE MARKING  OVERWRAP FOR DIAGNOSTIC SPECIMEN SHIPMENTS.  CLEAR OF SCENE: 0256.  THERE ARE PICTURES ON FILE IN THE HAZMAT OFFICE IN WILMINGTON  OHIO.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,LABPACK,LAB PACK,No,No
Paper,I-2003040020,No,A hazardous material incident,03/18/2003,0400,,,,PORTLAND,MULTNOMAH,OR,,,US,6447 NORTH CUTTER CIRCLE,Highway,UNLOADING,FEDEX GROUND PACKAGE SYSTEM  INC.,1000 FED EX DR,CORAOPOLIS,,15108,PA,265752,,UNITED STATES,DELTA LIGHTING PRODUCTS  INC.,2570 METROPOLITAN DR,LANGHORNE,,19053,PA,UNITED STATES,019605810807269,,TREVOSE,PENNSYLVANIA,19053,,US,WOODLAND,WASHINGTON,98674,,US,COMPOUND  CLEANING  LIQU,COMPOUND  CLEANING  LIQUID (CONTAINING PHOSPHORIC ACID  ACETIC ACID  SODIUM HYDROXIDE OR POTASSIUM HYDROXIDE),HYDROCHLORIC ACID,NA1760,8,CORROSIVE MATERIAL,,1,LGA,No,,No,,No,,No,Non-Bulk,109; 103,Closure (e.g.  Cap  Top  or Plug); Basic Material,303; 310,Burst or Ruptured; Ripped or Torn,511; 511,Dropped; Dropped,,,,,4,LGA,,,1,1,SMURFIT-STONE CONTAINER CORP,,,,,,,,,,,,,No,,,,,,1,LGA,,,4,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,Yes,100,0,0,0,425,0,525,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,SCOTT KERR,HAZARDOUS MATERIALS MANAG,,,,,,,US,,THE PACKAGE WAS DROPPED IN HANDLING. EXAMINATION OF THE INNER CONTAINER REVEALED A RUPTURED SEAM WHICH ALLOWED THE CONTENTS TO ESCAPE. THE LEAKAGE WAS CONTAINED. THE UNDAMAGED PORTION OF THE PACKAGE WAS REPACKED FOR RETURN TO SHIPPER.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
XML,X-2013050270,No,A hazardous material incident,04/18/2013,0500,,,,Fort Worth,TARRANT,TX,76119,,US,4901 Village Creek,Highway,UNLOADING,FEDEX GROUND PACKAGE SYSTEM  INC.,1000 FED EX DR,CORAOPOLIS,,15108,PA,265752,051910551007S,UNITED STATES,CHEM-COAT INDUSTRIES INC.,1926 COPPER ST,GARLAND,,75042,TX,UNITED STATES,25130761400159,,GARLAND,TEXAS,75042,,US,GRANBURY,TEXAS,76048,,US,CORROSIVE LIQUID  ACIDIC,CORROSIVE LIQUID  ACIDIC  INORGANIC  N.O.S.,HYPOPHOSPHOROUS ACID,UN3264,8,CORROSIVE MATERIAL,II,0.50,LGA,No,,No,,No,,No,Non-Bulk,109,Closure (e.g.  Cap  Top  or Plug),308,Leaked,526,Loose Closure  Component  or Device,,Box,Fiberboard,,,,,,,,,,,,,,,,,,,,,No,,,,Bottle,Plastic,,,,,,,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,GEORGE FETSKO,SAFETY PROCESS SPECIALIST I - HAZMAT,Fedex Ground Package System  Inc.,1000 Fedex Drive,Moon Township,PA,15108,,US,Carrier,The package was unloaded with leakage noted on the box.  Examination of the inner container revealed that the container(s) had loose cap(s) and leaked.  The leakage was contained.  The cap(s) were secured.  The carton was wet but otherwise undamaged.  The undamaged portion of the package was repacked for return to shipper.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
Paper,I-1992100541,No,A hazardous material incident,10/06/1992,0130,,,,SHREWSBURY,WORCESTER,MA,,,US,315 HARTFORD TURNPIKE,Highway,UNLOADING,UNITED PARCEL SERVICE  INC. (OH),1400 PERIMETER CTR,ATLANTA,,30346,GA,0,,UNITED STATES,BRULIN & COMPANY INC,3440 PATERSON PLANK RD,NORTH BERGEN,,07047,NJ,UNITED STATES,,,NORTH BERGEN,NEW JERSEY,07047,,US,LITTLETON,NEW HAMPSHIRE,03561,,US,COMPOUND  RUST PREVENTIN,COMPOUND  RUST PREVENTING OR COMPOUND  RUST REMOVING,RUST PRESENTATIVE,NA1760,8,CORROSIVE MATERIAL,,0.007813,LGA,No,,No,,No,,No,Non-Bulk,109,Closure (e.g.  Cap  Top  or Plug),,,526,Loose Closure  Component  or Device,,,,,5,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,5,LGA,,,1,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,2,0,0,0,100,0,102,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,HENRY PIETAL  JR.,REWRAP CLERK,,,,,,,US,,LOOSE CAP CAUSED SMALL AMOUNT TO LEAK OUT.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,No
XML,X-2010090175,No,A hazardous material incident,08/18/2010,1930,,,,MEMPHIS,SHELBY,TN,38106,,US,555 COMPRESS DRIVE,Highway,UNLOADING,FEDEX GROUND PACKAGE SYSTEM  INC.,1000 FED EX DR,CORAOPOLIS,,15108,PA,265752,051910551007S,UNITED STATES,ELECTRIC TRUCK COMPONENTS INC,3733 HOMEWOOD RD,MEMPHIS,,38118,TN,UNITED STATES,35752100063664,,MEMPHIS,TENNESSEE,38118,,US,JONESBORO,ARKANSAS,72401,,US,BATTERIES  WET  FILLED W,BATTERIES  WET  FILLED WITH ACID  ELECTRIC STORAGE,SUMP PUMP BACK UP BA,UN2794,8,CORROSIVE MATERIAL,III,3.1250,SLB,No,,No,,No,,Yes,Non-Bulk,104,Body,304,Cracked,511,Dropped,,Box,Fiberboard,,,,,,,,,,,,,,,,,,,,,No,,,,Can,Metal (any type),,,,,,,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,Yes,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,GEORGE FETSKO,SAFETY PROCESS SPECIALIST I - HAZMAT,Fedex Ground Package System  Inc.,1000 Fedex Drive,Moon Township,PA,15108,,US,Carrier,The package was dropped in handling.  Examination of the inner container revealed a ruptured seam which allowed the contents to escape. The leakage was contained.  The undamaged portion of the package was repacked for return to shipper.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,Yes
Paper,I-1999071998,No,A hazardous material incident,07/09/1999,0715,,,,SAN ANTONIO,BEXAR,TX,,,US,1102 BRUSSELS,Air,UNLOADING,FEDERAL EXPRESS CORPORATION,2900 BUSINESS PARK DR,MEMPHIS,,38118,TN,0,,UNITED STATES,U S GOVT - AIR FORCE,,N/A,,N/A,AK,UNITED STATES,568-3994-741,,JBER,ALASKA,99506,,US,SAN ANTONIO,TEXAS,78241,,US,FUEL OIL (NO. 1  2  4  5,FUEL OIL (NO. 1  2  4  5  OR 6),,NA1993,3,FLAMMABLE - COMBUSTIBLE LIQUID,,0.063401,LGA,No,,No,,No,,Yes,Non-Bulk,,,,,,,,,,,10.04,LGA,,,1,1,NOT REPORTED BY CARRIER,,,,,,,,,,,,,No,,,,,,10.04,LGA,,,1,1,,FALSE,,,,,,,,,,Yes,No,No,No,No,No,No,No,,No,,No,No,No,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,0,No,0,,No,No,No,,,No,No,No,No,No,MATTHEW G ELLIS,ASSOC SAFETY SPECIALIST,,,,,,,US,,The box started leaking and had a fuel smell so the spill clean up specialist cleaned up the spill properly and drummed the package. This was found to be an aviation part that contained fuel that was not packaged internally to prevent fuel leakage.  There were no dangerous goods markings or labelings on the outer box and no dangerous goods paperwork was given to FedEx.  The FAA was notified and this package is being held pending the FAA investigation.,,No,No,No,No,No,No,No,No,No,OHMIR.Ref_Container.descr_txt,BOX FBR,Fiberboard box or carton,No,Yes
